,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",0.05341614906832298,0.025826446280991736,0.09501557632398754,0.10171198388721048,0.11851851851851852,0.0660377358490566,0.4606741573033708,0.4606741573033708,#DIV/0!
69,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.02584968884633796,0.02422145328719723,0.027867095391211148,0.048109965635738834,0.06965174129353234,0.0,0.0,0.0,#DIV/0!
70,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",0.018610421836228287,0.0,0.0334075723830735,0.1880920162381597,0.18636363636363637,0.19063545150501673,0.0,0.0,0.0
71,Suffolk County (Central)--Islip Town (East) PUMA,0.07822410147991543,0.0,0.21142857142857144,0.11844660194174757,0.0,0.25630252100840334,0.0,0.0,#DIV/0!
72,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,0.06668783740870117,0.06040756914119359,0.07154929577464789,0.05076335877862596,0.03519061583577713,0.07978142076502732,0.1366120218579235,0.19141914191419143,0.06910569105691057
73,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",0.0,#DIV/0!,0.0,0.2,0.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
74,Erie County (West Central)--Buffalo City (East) PUMA,0.0,0.0,0.0,0.03257328990228013,0.04,0.0,0.28421052631578947,0.34177215189873417,0.0
75,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.013402061855670102,0.0,0.03002309468822171,0.013618677042801557,0.02676864244741874,0.0,0.0,0.0,0.0
76,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.0,0.0,0.0,0.36666666666666664,0.5238095238095238,0.0,0.4375,0.0,1.0
77,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0.0513347022587269,0.11275773195876289,0.0,0.16581632653061223,0.08080808080808081,0.25257731958762886,0.0,0.0,0.0
78,Jefferson & Lewis Counties PUMA,0.0,0.0,0.0,0.2025862068965517,0.0,0.22926829268292684,0.0,0.0,#DIV/0!
79,Fulton & Montgomery Counties PUMA,0.0,0.0,0.0,0.05161290322580645,0.0,0.07547169811320754,0.0,0.0,0.0
