,puma,Percentage_mf_t,Percentage_m,Percentage_f
146,Capital Region,1.7483100830337286,1.6657172602093933,1.8301757528483935
147,Central NY,0.931234236761324,0.8612180557465281,1.000633990403746
148,Finger Lakes,1.4803923186314683,1.48659863678328,1.4742406413403117
149,Long Island,14.294304975240218,14.586934530240233,14.00425175138328
150,Mid-Hudson,11.180616540866321,11.12953996346422,11.231243436495701
151,Mohawk Valley,0.6276878098028323,0.585849260445108,0.6691580096351939
152,New York City,66.72924599849784,66.51230627197549,66.94427577244004
153,North Country,0.39894324042380386,0.4031703628042193,0.39475333392554446
154,Southern Tier,0.8700604953911911,0.8208273586202832,0.9188601801700944
155,Western NY,1.7392043013512613,1.9478382997112496,1.5324071313577008
