,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,1080418,626435,453983,61124.85226273535,64943.59795828777,55855.50085575892,482420,255865,226555,86991.88439326728,97573.51014011295,75041.28665004083,470840,280640,190200,42048.86111842664,44652.22860960662,38207.59375394322,127158,89930,37228,33623.366158637284,35428.61312131658,29262.512517459978
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",6276,2137,4139,152058.07202039516,215957.61347683668,119066.20922928244,5778,2137,3641,158669.3423329872,215957.61347683668,125045.32820653667,498,0,498,75351.40562248995,0.0,75351.40562248995,0,0,0,#DIV/0!,0.0,0.0
2,Tompkins County PUMA,2633,1464,1169,78176.9084694265,117790.91530054645,28566.210436270318,2282,1113,1169,80100.48203330411,134227.67295597485,28566.210436270318,351,351,0,65670.94017094017,65670.94017094017,0.0,0,0,0,#DIV/0!,0.0,0.0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,12593,7575,5018,72910.11355514968,81261.76369636964,60302.75009964129,3567,1814,1753,146347.29464536023,190208.37927232636,100959.95436394752,7149,4708,2441,48101.56245628759,51214.033559898045,42098.4842277755,1877,1053,824,27841.337240277036,27924.20702754036,27735.436893203885
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",31932,18785,13147,52789.46229487661,57504.28373702422,46052.72229405948,12349,7223,5126,67002.37104218965,74855.75245742766,55936.24268435427,17029,9935,7094,45016.03206295144,47771.38097634625,41157.22300535664,2554,1627,927,35897.736883320285,39905.470190534725,28863.667745415318
5,Madison & Cortland Counties PUMA,465,212,253,139938.27956989247,279199.5283018868,23245.059288537548,297,173,124,213173.40067340067,341419.0751445087,34250.0,168,39,129,10469.047619047618,3200.0,12666.666666666666,0,0,0,#DIV/0!,0.0,0.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10287,5307,4980,37238.531155827746,39750.89504428114,34561.198795180724,1829,646,1183,61384.62001093494,79519.19504643962,51481.88503803888,6656,3324,3332,32438.807091346152,34706.0770156438,30176.98079231693,1802,1337,465,30459.267480577135,33078.23485415109,22929.032258064515
7,Dutchess County (Southwest) PUMA,5716,3443,2273,80577.14135759273,76848.99215800174,86224.31148262208,3385,1524,1861,114439.04283604136,136891.99475065616,96051.99355185384,1740,1328,412,35243.9540229885,33199.8343373494,41832.76699029126,591,591,0,20098.646362098138,20098.646362098138,0.0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",11414,6557,4857,35455.12440862099,34487.81302424889,36761.004735433395,2121,708,1413,41596.039603960395,44326.27118644068,40228.02547770701,8090,4966,3124,36038.29295426452,35585.741039065644,36757.682458386684,1203,883,320,20706.400665004156,20424.462061155155,21484.375
9,Dutchess County (North & East) PUMA,3457,1699,1758,50282.68440844663,56300.7651559741,44466.575654152446,759,247,512,72956.52173913043,92995.95141700405,63289.0625,2123,1105,1018,47567.78144135657,56786.42533936651,37561.29666011788,575,347,228,30377.11304347826,28634.00576368876,33030.0
10,Erie County (Central) PUMA,2371,1298,1073,42863.44580345845,44469.56086286595,40920.54054054054,899,425,474,57886.75194660734,61357.529411764706,54774.76793248945,1345,811,534,33597.799256505576,35196.72009864365,31169.475655430713,127,62,65,34645.669291338585,50000.0,20000.0
