,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
65,Westchester County (Northwest) PUMA,0.05547445255474453,0.12179487179487179,0.0,0.04361770365618987,0.02602934216753431,0.08059701492537313,0.0,0.0,0.0
66,NYC-Brooklyn Community District 4--Bushwick PUMA,0.06724511930585683,0.0,0.12375249500998003,0.054436752674638135,0.057352941176470586,0.0492091388400703,0.1295206055508831,0.16767922235722965,0.04371584699453552
67,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.33727810650887574,0.0,1.0
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",0.1357910906298003,0.15592972181551976,0.1212281630492324,0.0949731770315915,0.06752208666386202,0.11954066265060241,0.1510494752623688,0.07933333333333334,0.24315068493150685
69,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0748663101604278,0.0,0.1564245810055866,0.1628242074927954,0.08666666666666667,0.22081218274111675,0.0,0.0,0.0
70,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",0.16205533596837945,0.40594059405940597,0.0,0.2943396226415094,0.34210526315789475,0.2676470588235294,0.05357142857142857,0.0,0.28125
71,Suffolk County (Central)--Islip Town (East) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
72,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,0.17940199335548174,0.019736842105263157,0.3422818791946309,0.03399852180339985,0.04341736694677871,0.023474178403755867,0.0,0.0,0.0
73,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",0.04504504504504504,0.0,0.07423117709437964,0.07266619519094766,0.07246376811594203,0.0728788977519942,0.16711229946524064,0.1619631901840491,0.17327459618208516
74,Erie County (West Central)--Buffalo City (East) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
75,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0,0.12556053811659193,0.0,0.2204724409448819,0.09917355371900827,0.0,0.3870967741935484
76,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
77,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0.0,0.0,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
78,Jefferson & Lewis Counties PUMA,0.0,#DIV/0!,0.0,0.6844106463878327,0.0,0.8372093023255814,0.0,0.0,#DIV/0!
79,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.375,0.375,#DIV/0!
80,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",0.027551659361302442,0.042709867452135494,0.016339869281045753,0.028386300524529465,0.009282178217821782,0.047384615384615386,0.05144995322731525,0.035667107001321,0.08974358974358974
81,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,0.0,0.0,0.0,0.1337386018237082,0.1103448275862069,0.14035087719298245,0.0,0.0,0.0
82,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,0.08666164280331574,0.04426229508196721,0.12273361227336123,0.057569047896515554,0.03502461188943582,0.09366474689299788,0.03411978221415608,0.01637107776261937,0.10431654676258993
