,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,3598706,1997986,1600720,84725.80119687466,95940.63507051601,70727.67468389226,1866707,947180,919527,111669.99756040986,133242.62535737664,89448.61461381776,1635722,978527,657195,56080.373704089085,63061.77845475904,45685.44823073821,96277,72279,23998,48985.551585529254,52237.06650617745,39192.39186598883
1,Monroe County (Central)--Rochester City (East) PUMA,21246,11828,9418,56993.183187423514,61259.25938451133,51635.44807814823,13941,7320,6621,62592.21433182699,68823.16393442624,55703.44358858179,7101,4441,2660,46827.92705252781,49323.79193875253,42660.95864661654,204,67,137,28205.882352941175,26000.0,29284.671532846714
2,NYC-Brooklyn Community District 4--Bushwick PUMA,15623,8935,6688,64361.70005760738,62523.11583659765,66818.0023923445,11646,6531,5115,68236.5911042418,64576.028173327206,72910.51808406647,3894,2321,1573,53398.69029275809,57730.719517449375,47006.67514303878,83,83,0,35000.0,35000.0,0.0
3,NYC-Manhattan Community District 10--Central Harlem PUMA,10447,5521,4926,130837.25088542166,162752.60822314798,95066.91230207065,9157,4930,4227,124280.7404171672,141978.3265720081,103639.83676366217,1290,591,699,177378.3100775194,336047.37732656515,43224.63519313305,0,0,0,#DIV/0!,0.0,0.0
4,Ontario & Yates Counties PUMA,43381,24067,19314,69692.48634194693,75297.52939709976,62708.09309309309,18612,9583,9029,92149.15538362347,94029.78503600125,90153.13434488869,22494,12464,10030,51139.45363207967,61144.376604621306,38706.616151545364,2275,2020,255,69414.85714285714,73759.75247524753,34996.470588235294
5,Albany County (Outside Albany City) PUMA,58707,31008,27699,74081.674757695,84932.44162796698,61934.644933030075,26935,13143,13792,92054.3218860219,109951.57193943544,74999.2495649652,29447,16229,13218,60400.442150303934,68965.31147945036,49884.53472537449,2325,1636,689,39147.48387096774,42331.051344743275,31588.24383164006
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",34085,18607,15478,54531.06733167082,60451.62089536196,47413.627083602536,11564,5416,6148,71445.90626080941,89790.56868537667,55285.4163955758,20731,11899,8832,45734.59698036757,47642.88175476931,43163.641304347824,1790,1292,498,47132.42458100559,55429.52012383901,25606.626506024095
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,11493,5849,5644,68906.93291568781,75046.14122072149,62544.73777462792,5539,2680,2859,84569.84654269724,95983.46268656716,73870.82896117524,5420,2936,2484,56572.21402214022,58986.444141689375,53718.679549114335,534,233,301,31635.955056179777,36587.98283261803,27802.65780730897
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",22423,13679,8744,109184.18766445167,125386.0143285328,83838.26052150046,14622,8255,6367,127262.87990698947,153526.16353725016,93211.77163499293,7801,5424,2377,75297.93744391744,82558.40892330384,58730.50063104754,0,0,0,#DIV/0!,0.0,0.0
9,Warren & Washington Counties PUMA,41737,22825,18912,52229.93051728682,54021.496604600216,50067.67925126904,12200,4673,7527,73417.2524590164,87439.18681789,64711.991497276475,27479,16537,10942,44156.372502638376,46179.99455765858,41098.00676293182,2058,1615,443,34430.11175898931,37621.529411764706,22795.48532731377
10,Erie County (North Central) PUMA,31737,18289,13448,79981.60412137253,84030.20012029089,74475.5978584176,20314,11022,9292,95250.41252338288,103886.93340591544,85005.92983211364,10893,7199,3694,52448.296153493066,53808.383108765105,49797.70979967515,530,68,462,60641.50943396227,65000.0,60000.0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",42125,25895,16230,159670.61649851632,163666.990924889,153294.39248305606,36906,22022,14884,170826.6674795426,177373.16320043593,161140.63356624564,4825,3567,1258,69018.99067357513,69488.59826184469,67687.44038155803,394,306,88,224820.05076142133,275095.09803921566,50000.0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,31450,18078,13372,97655.74181240064,114391.766235203,75029.81827699671,18417,9551,8866,110519.79909865884,130914.86231808188,88548.9837581773,12526,8155,4371,80607.86683697908,98215.90435315757,47756.44932509723,507,372,135,51549.90138067061,44773.655913978495,70222.22222222222
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,23891,14015,9876,86413.46699593989,97715.00392436676,70375.49210206562,10495,5197,5298,104665.11672224868,127095.29343852222,82662.54435636089,13086,8508,4578,72444.80666360997,81209.51339915374,56156.006989951944,310,310,0,58164.51612903226,58164.51612903226,0.0
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1719,956,763,57814.96800465387,57358.1589958159,58387.32634338139,930,543,387,75919.6559139785,83204.41988950277,65698.39793281654,789,413,376,36474.841571609635,23376.271186440677,50862.367021276594,0,0,0,#DIV/0!,0.0,0.0
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,31245,16148,15097,126770.1446631461,135165.33378746593,117790.51202225608,29196,14667,14529,131505.63673105906,143056.43349014796,119845.12767568312,1781,1213,568,59858.56260527793,57340.97279472383,65235.035211267605,268,268,0,55546.64179104478,55546.64179104478,0.0
16,Onondaga County (Central)--Syracuse City PUMA,18746,8908,9838,58592.02496532594,64246.4077233947,53472.15897540151,8405,3888,4517,75664.17608566329,86148.55709876544,66639.76311711312,9835,4798,5037,45595.5058464667,47871.90704460192,43427.11733174509,506,222,284,27622.332015810276,34558.55855855856,22200.352112676057
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,19607,11465,8142,86484.91100117305,97936.97514173572,70358.90813068043,10085,5574,4511,105242.40257808627,119802.691065662,87251.03746397694,9398,5767,3631,67101.51308789104,78263.78012831628,49372.84494629579,124,124,0,30000.0,30000.0,0.0
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,20831,12102,8729,120213.4995919543,131877.71442736738,104042.07927597663,14122,7801,6321,145629.18141906246,160952.81374182797,126717.67125454833,6253,3845,2408,69314.9544218775,84844.08322496749,44518.650332225916,456,456,0,31065.13157894737,31065.13157894737,0.0
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",15018,8247,6771,91598.62098814755,113233.74802958651,65247.285482203515,13266,7022,6244,95539.92838836122,121178.91199088578,66706.33728379244,1752,1225,527,61755.365296803655,67690.12244897959,47960.151802656546,0,0,0,#DIV/0!,0.0,0.0
20,Monroe County (Central)--Rochester City (West) PUMA,9935,5583,4352,49562.37544036235,53379.68833960236,44665.30330882353,3787,1426,2361,51432.98125165038,46480.71528751753,54424.057602710716,5451,3689,1762,49355.402678407634,56755.299539170504,33862.65607264472,697,468,229,41017.50358680057,47792.73504273504,27171.17903930131
21,"Chenango, Delaware & Broome (East) Counties PUMA",29440,16565,12875,49512.169157608696,53139.18321762753,44845.64582524272,8241,3255,4986,70151.32629535251,77018.66666666667,65668.13477737666,19934,12527,7407,41514.75067723487,47160.717649876264,31966.07668421763,1265,783,482,41079.95256916996,49517.87994891443,27372.697095435684
22,Dutchess County (North & East) PUMA,34328,19049,15279,75207.10120018644,85974.815475878,61782.51914392303,14425,7192,7233,103761.77954939341,127473.46078976641,80184.50712014378,19270,11460,7810,54676.123508043594,60765.543630017455,45740.81562099872,633,397,236,49505.21327014218,61894.20654911839,28664.406779661018
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,17288,9117,8171,94399.36082832022,94842.00175496326,93905.47301431894,10817,4959,5858,111094.55301839697,118044.02702157693,105211.58245134859,6008,3914,2094,67455.6707723036,68452.09504343383,65593.20439350525,463,244,219,53979.91360691145,46609.42622950819,62191.78082191781
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,38428,21302,17126,89604.19787654835,95231.29640409352,82604.98890575733,31652,16141,15511,97013.0853026665,107313.11170311629,86294.70956095673,5959,4524,1435,58036.05302903172,59942.471264367814,52025.85365853659,817,637,180,32821.419828641374,39711.77394034537,8437.222222222223
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,9411,5548,3863,84844.08670704495,97489.01225666907,66683.57753041678,4989,2547,2442,78930.47504509921,87366.34471927758,70131.88370188371,4077,2656,1421,94354.56463085602,112329.42771084337,60757.6354679803,345,345,0,57971.014492753624,57971.014492753624,0.0
26,Westchester County (Southeast) PUMA,20918,12342,8576,198138.92532746916,254893.12753200452,116462.11054104478,17169,10264,6905,225599.82410157842,291841.6484801247,127134.0622737147,3668,2078,1590,73314.24754634679,72390.90471607314,74520.98113207547,81,0,81,30000.0,0.0,30000.0
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,4286,2837,1449,98722.05786280915,116130.30666196687,64638.4126984127,1558,986,572,132627.59948652118,163964.80730223123,78609.26573426573,2669,1851,818,79041.07905582615,90649.58400864397,52772.93398533007,59,0,59,93700.0,0.0,93700.0
28,Westchester County (Northwest) PUMA,28384,15458,12926,140363.6330326945,168989.02315952905,106130.97942132136,19277,9364,9913,165379.02370700834,221711.57518154636,112166.27156259457,9016,6003,3013,87689.65394853594,88399.98833916376,86274.40756720876,91,91,0,60000.0,60000.0,0.0
29,Monroe County (South) PUMA,47713,25700,22013,84352.71540251085,101916.3887159533,63847.26843229001,30853,16310,14543,102100.43042815934,129622.6167995095,71234.2501547136,15825,8579,7246,53016.32417061611,55668.563935190585,49876.16892078388,1035,811,224,34428.21256038648,33940.44389642417,36194.19642857143
30,Rockland County (North)--New City & Congers PUMA,19413,9652,9761,93864.69324679338,113426.16452548695,74521.66273947341,12087,5054,7033,109702.4199553239,149653.62089434112,80992.99729845017,7195,4467,2728,68136.66435024323,74426.03537049473,57838.04985337243,131,131,0,45640.0,45640.0,0.0
