,puma,ENG_prof_mf_t,ENG_prof_m,ENG_prof_f,NO_ENG_prof_mf_t,NO_ENG_prof_m,NO_ENG_prof_f
73,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",39.08752206026538,43.11796706162903,35.93922812736481,60.91247793973462,56.88203293837096,64.06077187263519
74,Erie County (West Central)--Buffalo City (East) PUMA,76.03092783505154,78.67647058823529,74.60317460317461,23.969072164948454,21.323529411764707,25.396825396825395
75,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,69.51553930530164,59.19153031761309,78.85117493472585,30.484460694698356,40.808469682386914,21.148825065274153
76,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,63.984674329501914,66.22516556291392,60.909090909090914,36.015325670498086,33.77483443708609,39.09090909090909
77,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",97.7646562631801,98.35916134913401,97.25274725274726,2.235343736819907,1.6408386508659982,2.7472527472527473
78,Jefferson & Lewis Counties PUMA,84.85663082437276,94.66403162055336,76.72131147540983,15.143369175627242,5.33596837944664,23.278688524590162
79,Fulton & Montgomery Counties PUMA,75.22727272727273,97.28682170542635,43.956043956043956,24.772727272727273,2.7131782945736433,56.043956043956044
80,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",56.68346373160058,61.48036253776436,52.930749231860084,43.31653626839942,38.51963746223565,47.069250768139916
81,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,60.13472137170851,43.5313262815297,70.15218458517427,39.86527862829149,56.4686737184703,29.847815414825725
82,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,46.07678031344515,47.525158522350864,44.343788925376515,53.92321968655486,52.474841477649136,55.656211074623485
83,Monroe County (North & West) PUMA,90.0,86.66666666666667,100.0,10.0,13.333333333333334,0.0
84,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,63.61294854533747,66.58212560386474,60.82017494036124,36.387051454662526,33.41787439613527,39.17982505963876
85,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",100.0,100.0,100.0,0.0,0.0,0.0
86,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,49.573120352519965,53.510324483775804,46.12603305785124,50.426879647480035,46.48967551622419,53.87396694214877
87,NYC-Manhattan Community District 8--Upper East Side PUMA,89.07771624976132,90.33149171270718,88.18923327895595,10.922283750238686,9.668508287292818,11.810766721044045
88,"Chenango, Delaware & Broome (East) Counties PUMA",46.547314578005114,80.26315789473685,25.10460251046025,53.452685421994886,19.736842105263158,74.89539748953975
89,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",61.29899356129275,61.46255060728745,61.13925614728778,38.70100643870726,38.53744939271255,38.86074385271222
90,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,76.05670779732213,85.97560975609755,68.55693868142001,23.943292202677867,14.02439024390244,31.44306131857999
91,Monroe County (Central)--Rochester City (West) PUMA,81.2206572769953,77.54237288135593,83.37468982630273,18.779342723004692,22.45762711864407,16.62531017369727
92,Erie County (Northwest) PUMA,27.564102564102566,33.07692307692307,0.0,72.43589743589743,66.92307692307692,100.0
93,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,52.56978628428165,61.154884566642785,41.867014699821404,47.43021371571835,38.84511543335721,58.132985300178596
94,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",87.31343283582089,85.29411764705883,88.55421686746988,12.686567164179104,14.705882352941178,11.44578313253012
95,Suffolk County (Central)--Islip Town (Northwest) PUMA,44.76726851084976,48.144037489209516,40.84628051836472,55.23273148915025,51.85596251079048,59.15371948163528
96,Rensselaer County--Troy City PUMA,61.55038759689923,77.74725274725274,40.569395017793596,38.44961240310077,22.252747252747252,59.430604982206404
97,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",70.9400146305779,73.86799693016115,68.27393431167016,29.059985369422094,26.132003069838834,31.72606568832984
98,Erie County (West Central)--Buffalo City (West) PUMA,72.72727272727273,72.10144927536231,73.46072186836517,27.27272727272727,27.898550724637683,26.53927813163482
99,Suffolk County (Central)--Brookhaven Town (Central) PUMA,76.50384113639657,83.25778180719252,70.27855153203343,23.49615886360342,16.742218192807496,29.72144846796657
100,Cayuga & Onondaga (South) Counties PUMA,83.88746803069054,78.49829351535837,100.0,16.11253196930946,21.501706484641637,0.0
101,Sullivan & Ulster (West) Counties PUMA,48.71270944013077,55.952380952380956,37.00534759358289,51.28729055986923,44.047619047619044,62.99465240641712
102,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,100.0,100.0,100.0,0.0,0.0,0.0
103,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",77.95771479982007,81.07476635514018,76.00585223116313,22.042285200179936,18.925233644859812,23.994147768836868
104,Rockland County (North)--New City & Congers PUMA,49.76765102683256,56.39810426540285,43.78208784940102,50.23234897316744,43.60189573459716,56.21791215059897
105,Saratoga County (Outer) PUMA,75.52870090634441,58.24742268041238,100.0,24.47129909365559,41.75257731958763,0.0
