,puma,ENG_prof_mf_t,ENG_prof_m,ENG_prof_f,NO_ENG_prof_mf_t,NO_ENG_prof_m,NO_ENG_prof_f
0,Total Geo,66.61128815764553,69.29688071895147,64.09510031756463,33.388711842354475,30.703119281048536,35.90489968243538
1,Monroe County (Central)--Rochester City (East) PUMA,50.71315372424723,69.38020351526364,36.72903672903673,49.28684627575277,30.619796484736355,63.27096327096328
2,NYC-Brooklyn Community District 4--Bushwick PUMA,51.541044776119406,57.73951980236238,45.7427601646566,48.458955223880594,42.26048019763761,54.2572398353434
3,NYC-Manhattan Community District 10--Central Harlem PUMA,84.3180060945104,84.11497730711044,84.53023255813955,15.681993905489607,15.88502269288956,15.469767441860466
4,Ontario & Yates Counties PUMA,41.58057851239669,39.46280991735537,43.69834710743802,58.41942148760331,60.537190082644635,56.30165289256198
5,Albany County (Outside Albany City) PUMA,89.50912250217202,86.86270765705557,92.99924452279022,10.490877497827976,13.137292342944434,7.00075547720977
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",83.34246575342465,76.07361963190185,95.46783625730994,16.65753424657534,23.92638036809816,4.5321637426900585
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,56.297085260040525,60.16044160132068,52.37833594976452,43.702914739959475,39.83955839867932,47.62166405023548
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",87.16498838109992,88.2815980989158,85.9478711348551,12.835011618900078,11.718401901084212,14.052128865144892
9,Warren & Washington Counties PUMA,67.18995290423861,51.16822429906542,100.0,32.81004709576138,48.831775700934585,0.0
10,Erie County (North Central) PUMA,93.6692949377214,95.09823779623254,91.81961195595176,6.3307050622785965,4.90176220376747,8.180388044048243
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",88.7059098341509,94.60863916856123,83.26851159311892,11.2940901658491,5.391360831438779,16.731488406881077
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,75.19165900030666,67.40804106073567,79.54110898661568,24.808340999693346,32.59195893926432,20.45889101338432
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,88.50491087668243,94.15931569099172,81.7499600830273,11.49508912331757,5.840684309008286,18.250039916972696
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,75.18248175182481,83.23289613612195,69.90471763885662,24.817518248175183,16.76710386387806,30.09528236114339
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,86.66113645790129,94.2285929837797,80.71968014215905,13.338863542098714,5.771407016220294,19.28031985784096
16,Onondaga County (Central)--Syracuse City PUMA,65.28525296017223,68.9756983874631,61.96030284428075,34.71474703982777,31.02430161253691,38.03969715571925
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,79.47652401219881,79.43147076042412,79.52440204617724,20.5234759878012,20.56852923957588,20.475597953822756
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,83.92789803152576,81.00549073438572,86.21988965146011,16.072101968474247,18.994509265614276,13.780110348539901
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",73.63329675242856,75.4561359660085,71.89682539682539,26.366703247571433,24.543864033991504,28.1031746031746
20,Monroe County (Central)--Rochester City (West) PUMA,58.37685817597429,63.159893657424995,53.00639658848614,41.62314182402571,36.840106342575005,46.99360341151386
21,"Chenango, Delaware & Broome (East) Counties PUMA",87.47323340471092,80.68459657701712,92.76190476190476,12.526766595289079,19.315403422982886,7.238095238095238
22,Dutchess County (North & East) PUMA,62.70803037647439,65.22257551669315,60.985570378437245,37.29196962352561,34.77742448330684,39.014429621562755
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,57.91947161183793,60.64167132997576,55.07820105133363,42.08052838816207,39.35832867002425,44.921798948666364
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,77.77654683432117,78.99609592861127,76.57350352112677,22.223453165678837,21.003904071388735,23.42649647887324
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,79.044,77.69610123755467,80.06033817441943,20.956,22.303898762445336,19.93966182558058
26,Westchester County (Southeast) PUMA,77.80737358362929,81.96761133603239,73.26136966908511,22.192626416370707,18.03238866396761,26.73863033091488
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,47.50368089947798,52.87206266318538,41.85663279318869,52.496319100522015,47.127937336814625,58.14336720681131
28,Westchester County (Northwest) PUMA,72.5018504811251,76.70732878686005,68.59437751004016,27.49814951887491,23.292671213139947,31.40562248995984
29,Monroe County (South) PUMA,78.89426957223567,90.12997562956946,67.80272654370489,21.10573042776433,9.870024370430544,32.19727345629511
30,Rockland County (North)--New City & Congers PUMA,75.42022353251781,74.33763958835121,76.14773396115362,24.57977646748218,25.662360411648784,23.85226603884638
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",54.15754238878808,60.537077426390404,48.745229559384754,45.84245761121191,39.462922573609596,51.25477044061524
32,Orange County (Southeast) PUMA,79.49216039961149,68.35484938761999,87.52986144290492,20.50783960038851,31.645150612380007,12.470138557095078
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",67.19172037547135,69.72752311626992,64.16974386026611,32.80827962452866,30.272476883730082,35.8302561397339
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,86.02158948685857,89.24071082390952,82.99969669396421,13.978410513141426,10.759289176090467,17.00030330603579
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",72.33369894831925,74.12227192625728,70.70918492982024,27.666301051680755,25.877728073742713,29.29081507017976
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,65.15972469195205,71.75148170856326,58.24905725059993,34.84027530804795,28.248518291436746,41.75094274940007
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,77.2817263908137,83.97988505747126,72.56159298008775,22.718273609186298,16.020114942528735,27.438407019912255
