,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,3592782,2000255,1592527,81806.04076451062,93003.15770939205,67742.17299047363,1839476,935486,903990,107814.94118814271,129885.87689928016,84975.02994502151,1655769,991147,664622,55225.394058591504,61733.38321258098,45520.066931278234,97537,73622,23915,42525.18016752617,45322.78688435522,33912.786201129
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,29085,16295,12790,82481.18067732509,92311.63485731819,69956.76700547303,11779,6188,5591,98386.66270481366,112272.56787330317,83018.03791808263,17113,9914,7199,71797.67662011336,80500.34698406294,59812.918460897345,193,193,0,59041.45077720207,59041.45077720207,0.0
2,"Chenango, Delaware & Broome (East) Counties PUMA",29834,17048,12786,48334.88630421666,51081.781440638195,44672.35945565462,6893,3421,3472,60490.004352241405,67641.81876644256,53443.24251152074,20718,11696,9022,45579.537020947966,48460.14004787962,41845.16182664598,2223,1931,292,36324.13405308142,37622.863801139305,27735.616438356163
3,Cayuga & Onondaga (South) Counties PUMA,37163,21859,15304,57885.1294567177,65905.79729173338,46429.05403815996,11939,5943,5996,80848.57500628193,101472.94295810196,60406.51050700467,22776,13684,9092,47787.075386371616,54478.173268050276,37716.57567091949,2448,2232,216,39842.933006535946,41264.24731182796,25156.01851851852
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,824,348,476,46733.73786407767,52155.1724137931,42770.16806722689,0,0,0,#DIV/0!,0.0,0.0,824,348,476,46733.73786407767,52155.1724137931,42770.16806722689,0,0,0,#DIV/0!,0.0,0.0
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",18154,10605,7549,77300.43758951196,80167.18000942952,73273.17525500066,8355,3678,4677,87633.67324955117,96322.60467645459,80800.68419927303,8738,6155,2583,68612.09933623255,72384.13062550772,59623.770809136666,1061,772,289,67483.7700282752,65251.39896373057,73447.05882352941
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",23918,13697,10221,61220.53056275608,66980.90092721034,53501.14959397319,11705,6537,5168,69573.95984621956,73689.81184029371,64367.82120743034,11504,6698,4806,54022.622566063976,62209.450582263366,42612.84852267998,709,462,247,40103.24400564175,41229.87012987013,37995.95141700405
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",32085,17585,14500,48800.13077762194,54484.69525163492,41906.12620689655,9186,3897,5289,55904.544959721316,66666.94893507827,47974.67385138968,21298,12533,8765,47184.166400600996,52741.09119923402,39238.36622932117,1601,1155,446,29534.459712679574,32301.445887445887,22368.83408071749
8,Erie County (Northwest) PUMA,36591,18988,17603,53422.521303052665,57368.6734779861,49165.88678066239,17127,7624,9503,58962.67449057045,66408.93756558237,52988.73892455014,18872,11115,7757,49264.69165960153,51349.00062977958,46278.0867603455,592,249,343,25686.638513513513,49279.076305220886,8559.766763848396
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,49716,26272,23444,181607.67595944967,223199.9668087698,134998.19527384406,45796,23343,22453,191389.34007336886,241996.0385554556,138776.6752772458,3700,2709,991,68600.27027027027,75627.90697674418,49389.50554994954,220,220,0,46000.0,46000.0,0.0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",43809,21838,21971,138544.4833253441,149928.26815642457,127229.60948523053,39481,18792,20689,146864.83295762519,165620.82375478928,129828.60215573493,4328,3046,1282,62644.36229205176,53114.57649376231,85286.89547581904,0,0,0,#DIV/0!,0.0,0.0
