,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,1120846,661327,459519,68280.26024270953,73958.30373173936,60108.577534334814,510315,270339,239976,96788.20918452328,111300.37271721801,80439.89194752809,486370,299320,187050,46515.46497933672,51057.90031404517,39246.59705960973,124161,91668,32493,36367.73946730455,38608.248789108526,30046.900870956822
1,Monroe County (Central)--Rochester City (East) PUMA,1436,1051,385,54518.96935933147,59844.81446241675,39980.103896103894,616,507,109,80975.38961038961,84218.73767258383,65889.35779816513,636,544,92,35783.96226415094,37128.67647058824,27832.608695652172,184,0,184,30705.434782608696,0.0,30705.434782608696
2,NYC-Brooklyn Community District 4--Bushwick PUMA,9270,5895,3375,48125.606256742176,51144.88888888889,42851.92592592593,2593,1108,1485,67529.11685306595,69628.15884476535,65962.96296296296,4752,3303,1449,46973.39436026936,56120.2906448683,26123.015873015873,1925,1484,441,24833.14285714286,26270.754716981133,19995.46485260771
3,NYC-Manhattan Community District 10--Central Harlem PUMA,12051,8074,3977,64805.90490415733,68211.53083973247,57891.893386975105,5144,3672,1472,81816.64074650078,71850.5174291939,106677.78532608696,4975,2968,2007,47667.15175879397,62354.4474393531,25947.22471350274,1932,1434,498,63647.5569358178,71015.89958158995,42430.28112449799
4,Ontario & Yates Counties PUMA,503,382,121,59522.0675944334,56933.50785340314,67694.21487603306,280,233,47,78916.42857142857,67200.0,137000.0,174,149,25,38597.70114942529,40879.19463087248,25000.0,49,0,49,23000.0,0.0,23000.0
5,Albany County (Outside Albany City) PUMA,5517,3780,1737,81074.87221315932,82817.13492063493,77283.41968911917,4050,3011,1039,93149.4,89404.89870474926,104000.88546679499,1241,543,698,44053.82755842063,52461.178637200734,37513.43839541548,226,226,0,67983.18584070797,67983.18584070797,0.0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",891,694,197,78447.25028058361,82608.64553314121,63787.30964467005,339,242,97,65464.601769911504,64307.438016528926,68351.54639175258,552,452,100,86420.28985507246,92407.0796460177,59360.0,0,0,0,#DIV/0!,0.0,0.0
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,28591,17994,10597,59097.43765520618,59537.09569856619,58350.886099839576,14578,8323,6255,69450.18109480038,69837.99110897513,68934.15507593926,11120,7333,3787,50481.98741007194,54196.24982953771,43289.8336414048,2893,2338,555,40045.07431731766,39618.39178785287,41842.52252252252
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",8107,4581,3526,76034.10386086098,88130.60030561013,60318.2643221781,4055,1582,2473,86768.65598027127,113600.56890012643,69604.04367165387,1763,1425,338,117143.60748723766,131372.05614035088,57156.80473372781,2289,1574,715,25354.914809960683,23383.10038119441,29695.664335664336
9,Warren & Washington Counties PUMA,282,219,63,73019.85815602836,84852.05479452055,31888.88888888889,132,132,0,129704.54545454546,129704.54545454546,0.0,150,87,63,23137.333333333332,16800.0,31888.88888888889,0,0,0,#DIV/0!,0.0,0.0
10,Erie County (North Central) PUMA,5217,3324,1893,60625.397738163694,74326.56438026474,36566.930797675646,3818,2358,1460,71434.88737558931,91650.63613231553,38785.068493150684,998,565,433,29282.364729458917,29431.504424778763,29087.759815242494,401,401,0,35711.97007481297,35711.97007481297,0.0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",18056,10186,7870,126102.44960124059,134722.31003337915,114945.91867852605,15473,8299,7174,136699.53014929232,151834.97409326426,119190.6021745191,2497,1887,610,63263.91670004005,59461.049284578694,75027.86885245901,86,0,86,44000.0,0.0,44000.0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,984,653,331,59721.544715447155,68456.35528330781,42489.425981873115,360,360,0,93335.55555555556,93335.55555555556,0.0,516,185,331,42720.93023255814,43135.13513513513,42489.425981873115,108,108,0,28900.0,28900.0,0.0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,9928,5948,3980,67903.06204673651,74334.83523873572,58290.95477386934,6128,2834,3294,81605.38511749347,102336.20324629499,63769.581056466304,1919,1833,86,56908.59822824388,56528.96890343699,65000.0,1881,1281,600,34479.638490164805,37865.105386416864,27251.666666666668
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,2845,1565,1280,35107.55711775044,38980.255591054316,30372.578125,458,334,124,47660.262008733625,57964.071856287424,19906.451612903227,2129,1231,898,33300.3287928605,33829.48822095857,32574.944320712693,258,0,258,27737.20930232558,0.0,27737.20930232558
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,7924,3908,4016,93593.00605754669,119159.87717502558,68713.69023904382,5918,3139,2779,110393.03480905712,136818.8595093979,80543.92947103275,1102,343,759,58294.373865698726,78024.48979591837,49378.12911725955,904,426,478,26642.256637168142,22159.62441314554,30637.23849372385
