,puma,ENG_prof_mf_t,ENG_prof_m,ENG_prof_f,NO_ENG_prof_mf_t,NO_ENG_prof_m,NO_ENG_prof_f
50,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,81.55339805825243,82.76684555754323,80.43835616438356,18.446601941747574,17.23315444245677,19.561643835616437
51,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",74.34312210200927,74.9514563106796,71.96969696969697,25.656877897990725,25.04854368932039,28.030303030303028
52,Warren & Washington Counties PUMA,97.34513274336283,100.0,95.52238805970148,2.6548672566371683,0.0,4.477611940298507
53,Oswego County PUMA,95.01246882793018,100.0,93.44262295081968,4.987531172069826,0.0,6.557377049180328
54,Erie County (Northeast) PUMA,100.0,100.0,100.0,0.0,0.0,0.0
55,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,86.77248677248677,92.82700421940928,82.42424242424242,13.227513227513226,7.172995780590717,17.575757575757574
56,Saratoga County (South & Central) PUMA,83.96009209516501,61.58088235294118,100.0,16.039907904834998,38.419117647058826,0.0
57,Columbia & Greene Counties PUMA,93.74090247452693,93.23529411764706,94.23631123919309,6.259097525473072,6.764705882352941,5.763688760806916
58,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",85.46368595571718,86.00133958472873,84.96919917864476,14.536314044282811,13.998660415271265,15.030800821355236
59,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,83.10143626570917,84.75357710651828,81.63322972591128,16.898563734290846,15.246422893481718,18.366770274088726
60,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,81.68293816829382,83.52578906851424,78.87323943661971,18.317061831706184,16.474210931485757,21.12676056338028
61,Erie County (North Central) PUMA,89.36832740213522,87.64906303236796,91.24767225325886,10.63167259786477,12.350936967632027,8.752327746741155
62,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,84.26229508196721,100.0,47.82608695652174,15.737704918032788,0.0,52.17391304347826
63,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,91.86856953202788,92.78943805010155,90.98307291666666,8.131430467972121,7.210561949898444,9.016927083333332
64,Madison & Cortland Counties PUMA,85.5106888361045,100.0,75.30364372469636,14.489311163895488,0.0,24.696356275303643
65,Westchester County (Northwest) PUMA,90.17094017094017,91.1888955944478,89.12909203211859,9.82905982905983,8.811104405552204,10.87090796788141
66,NYC-Brooklyn Community District 4--Bushwick PUMA,81.98903680501175,81.27035830618892,82.65460030165912,18.010963194988253,18.729641693811075,17.345399698340874
67,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",92.8610653487095,92.7027027027027,92.96947271045329,7.1389346512905005,7.297297297297297,7.030527289546716
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",91.08580949736185,92.36641221374046,89.30232558139535,8.914190502638156,7.633587786259542,10.69767441860465
69,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,95.27321488434461,95.72388515577276,94.72511144130758,4.726785115655381,4.276114844227244,5.274888558692422
70,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",73.12409812409813,72.91361639824304,73.32859174964437,26.875901875901874,27.086383601756953,26.671408250355615
71,Suffolk County (Central)--Islip Town (East) PUMA,92.18512898330803,96.61538461538461,87.87425149700599,7.814871016691957,3.3846153846153846,12.125748502994012
72,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,72.3853773998422,72.43554071600816,72.3404255319149,27.614622600157794,27.564459283991837,27.659574468085108
73,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",77.77777777777779,100.0,58.778625954198475,22.22222222222222,0.0,41.221374045801525
74,Erie County (West Central)--Buffalo City (East) PUMA,82.22222222222221,93.64303178484109,67.20257234726688,17.77777777777778,6.356968215158925,32.79742765273312
75,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,94.3747760659262,94.95861550037623,93.84404924760602,5.625223934073809,5.041384499623777,6.155950752393981
76,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,83.4061135371179,100.0,76.10062893081762,16.593886462882097,0.0,23.89937106918239
77,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",100.0,100.0,100.0,0.0,0.0,0.0
78,Jefferson & Lewis Counties PUMA,80.91922005571031,58.620689655172406,96.02803738317756,19.080779944289695,41.37931034482759,3.9719626168224296
79,Fulton & Montgomery Counties PUMA,91.15384615384615,100.0,86.7816091954023,8.846153846153847,0.0,13.218390804597702
80,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",85.52915766738661,85.18742442563483,85.88531821045999,14.47084233261339,14.812575574365175,14.114681789540013
81,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,86.88630490956072,94.17927823050059,77.79390420899854,13.113695090439276,5.820721769499418,22.206095791001452
82,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,84.71337579617835,87.77533039647577,80.51359516616314,15.286624203821656,12.22466960352423,19.486404833836858
83,Monroe County (North & West) PUMA,89.22204213938411,76.8695652173913,100.0,10.777957860615883,23.130434782608695,0.0
84,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,58.62457722660653,100.0,39.93453355155483,41.37542277339346,0.0,60.06546644844517
