,puma,ENG_prof_mf_t,ENG_prof_m,ENG_prof_f,NO_ENG_prof_mf_t,NO_ENG_prof_m,NO_ENG_prof_f
0,Total Geo,64.7523752990596,67.08059455031197,62.576789506558406,35.247624700940406,32.919405449688036,37.4232104934416
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",71.25838234743192,75.36504264854706,66.84034528345906,28.74161765256809,24.63495735145294,33.15965471654094
2,Ulster County (East) PUMA,65.64402810304449,46.04105571847507,78.67446393762182,34.35597189695551,53.95894428152492,21.325536062378166
3,Albany County (East Central)--Albany City PUMA,84.64788732394366,89.35606060606061,80.5592105263158,15.352112676056336,10.643939393939394,19.440789473684212
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,79.16666666666666,82.19780219780219,77.9185520361991,20.833333333333336,17.802197802197803,22.081447963800905
5,Ontario & Yates Counties PUMA,83.02277432712215,70.3971119133574,88.09869375907112,16.977225672877847,29.602888086642597,11.901306240928882
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,84.39349112426035,71.00591715976331,97.7810650887574,15.606508875739644,28.994082840236686,2.2189349112426036
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,81.69161472314482,77.61194029850746,85.62365975696926,18.30838527685518,22.388059701492537,14.376340243030736
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",65.0759219088937,57.566765578635014,85.48387096774194,34.924078091106296,42.433234421364986,14.516129032258066
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,60.45340050377834,54.0948275862069,66.83489545782264,39.54659949622166,45.9051724137931,33.16510454217736
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",57.80124376577797,64.87550897803885,51.74561453631221,42.19875623422203,35.12449102196115,48.25438546368779
11,Livingston & Wyoming Counties PUMA,94.25925925925925,97.11246200607903,89.81042654028435,5.7407407407407405,2.8875379939209727,10.189573459715639
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,34.17583614772851,46.28554846198491,26.896912611198324,65.82416385227148,53.71445153801508,73.10308738880168
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,79.03752759381898,91.4193779048981,66.95166637585064,20.962472406181014,8.580622095101894,33.048333624149365
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,81.82002843794434,82.61617900172116,81.10811850711812,18.17997156205566,17.38382099827883,18.89188149288188
