,puma,ENG_prof_mf_t,ENG_prof_m,ENG_prof_f,NO_ENG_prof_mf_t,NO_ENG_prof_m,NO_ENG_prof_f
0,Total Geo,66.51476990418087,69.45435260578107,63.73526031956438,33.485230095819134,30.54564739421894,36.26473968043562
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,79.41721079816782,83.66575687591855,75.73663150236449,20.58278920183218,16.33424312408146,24.263368497635504
2,"Chenango, Delaware & Broome (East) Counties PUMA",75.40707467714766,91.25874125874127,60.67172264355363,24.59292532285233,8.741258741258742,39.32827735644637
3,Cayuga & Onondaga (South) Counties PUMA,62.61980830670927,#DIV/0!,62.61980830670927,37.38019169329074,#DIV/0!,37.38019169329074
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,66.23232603271416,70.7047221999519,61.86599874765185,33.76767396728583,29.295277800048105,38.134001252348156
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",79.53719008264463,83.51776878092667,76.1559037065342,20.462809917355372,16.482231219073324,23.8440962934658
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",69.9043502621363,73.46929526399275,67.0858862732452,30.09564973786369,26.530704736007248,32.91411372675481
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",67.58034026465029,43.389830508474574,76.93315858453474,32.41965973534972,56.61016949152542,23.06684141546527
8,Erie County (Northwest) PUMA,90.08498583569406,97.78911564625851,74.70288624787777,9.91501416430595,2.2108843537414966,25.29711375212224
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,88.34452785460293,86.24556157727528,90.20452099031216,11.655472145397077,13.754438422724725,9.795479009687837
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",93.77351148008822,91.88110026619344,95.2518484288355,6.226488519911792,8.118899733806566,4.7481515711645095
11,Saratoga County (South & Central) PUMA,80.63747393506107,86.23452294246177,76.76411290322581,19.362526064938933,13.765477057538236,23.235887096774192
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,83.75994215473608,77.03780783905654,88.56646825396825,16.24005784526392,22.962192160943463,11.433531746031745
13,Columbia & Greene Counties PUMA,87.92862141357593,85.89853826311264,89.32153392330383,12.071378586424073,14.10146173688736,10.678466076696164
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,87.52769070010449,89.10219280099297,85.92060810810811,12.472309299895507,10.897807199007033,14.079391891891893
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,85.7229943916118,91.09241452991454,81.21354867653656,14.2770056083882,8.90758547008547,18.78645132346344
