,puma,Percentage_mf_t,Percentage_m,Percentage_f
146,Capital Region,1.6378881392495435,1.7237122519545764,1.5509518477043673
147,Central NY,0.8521987989974131,0.783427402762509,0.9218613910663183
148,Finger Lakes,1.5040038570541132,1.6448536140471555,1.3613288540500186
149,Long Island,14.012974289396501,14.546962038532639,13.472066691551573
150,Mid-Hudson,11.22378022208967,10.770591378367921,11.682841856414084
151,Mohawk Valley,0.6728828697966084,0.6449948717318806,0.7011322632823193
152,New York City,67.42254213244406,67.03279020777163,67.8173447803907
153,North Country,0.24823604676678113,0.17000055274746198,0.32748538011695905
154,Southern Tier,0.938797081248474,0.9561302764351474,0.9212392683837253
155,Western NY,1.4866965629568276,1.726537405649079,1.2437476670399403
