,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
75,Westchester County (Southeast) PUMA,19734,12076,7658,149307.5930373974,172327.11170917522,113007.81405066597,14836,9399,5437,177469.67181180912,204114.51122459836,131408.45319109803,4797,2576,2221,64859.82697519283,62184.20419254658,67963.1157136425,101,101,0,23400.0,23400.0,0.0
76,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",9279,4915,4364,142403.5305528613,143461.03153611394,141212.50916590285,8491,4349,4142,144896.30785537628,147219.8091515291,142456.68759053596,788,566,222,115542.90609137056,114579.54063604241,117999.05405405405,0,0,0,#DIV/0!,0.0,0.0
77,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,27212,14868,12344,104321.2615757754,133868.1349206349,68732.8856124433,17404,10069,7335,129388.02171914502,162499.11510577018,83935.31561008861,9634,4699,4935,55214.55677807764,72909.52117471803,38365.79533941236,174,100,74,316000.0,115460.0,587000.0
78,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,14008,8266,5742,73572.52784123358,81386.67674812485,62323.528387321494,9518,5198,4320,85123.56272326119,97605.28472489418,70105.04629629629,3826,2404,1422,50557.73653946681,57581.53078202995,38683.47398030942,664,664,0,40608.43373493976,40608.43373493976,0.0
79,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",5403,3525,1878,65407.12567092356,60719.51773049645,74205.75079872205,2333,1315,1018,85365.83797685384,70529.27756653992,104530.94302554027,2537,1907,630,55962.31769806858,59247.14210802307,46019.206349206346,533,303,230,23001.500938086305,27412.54125412541,17190.434782608696
80,Onondaga County (Central)--Syracuse City (Outer) PUMA,51541,28475,23066,64702.04058904562,75350.10774363477,51556.99106910604,22810,12600,10210,85733.8233231039,104966.49222222222,61999.08991185113,27289,15068,12221,49080.08223093554,53000.59835412796,44246.2440062188,1442,807,635,27651.17891816921,30239.776951672862,24361.417322834644
81,Wayne & Seneca Counties PUMA,38650,22302,16348,48142.94582147477,54754.467760738946,39123.48397357475,10556,5041,5515,65086.25862068965,83302.04522912121,48436.071804170446,27079,16405,10674,42101.905535654936,46840.01950624809,34819.84073449503,1015,856,159,33100.30541871921,38315.43224299065,5023.899371069182
82,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",1239,687,552,63523.97094430993,47281.22270742358,83739.13043478261,946,394,552,65698.94291754757,40424.3654822335,83739.13043478261,293,293,0,56501.70648464164,56501.70648464164,0.0,0,0,0,#DIV/0!,0.0,0.0
83,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,19229,11553,7676,94750.64267512612,106914.25257508871,76443.42730588849,10774,6052,4722,109655.41878596622,129165.64606741573,84649.9347734011,8290,5400,2890,76246.45307599517,82648.21111111112,64284.690657439445,165,101,64,51209.27272727273,70985.44554455446,20000.0
84,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,11492,6746,4746,77967.74147232858,92928.18766676549,56702.85103244838,5527,3279,2248,90802.31318979555,109435.79566941141,63622.95862989324,5638,3140,2498,62679.01738205037,72387.57324840764,50475.30824659728,327,327,0,124637.92048929664,124637.92048929664,0.0
