,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
44,Onondaga County (Central)--Syracuse City PUMA,2050,887,1163,33557.20975609756,36406.20067643743,31384.33361994841,386,230,156,45803.886010362694,49740.434782608696,40000.0,1199,495,704,31868.457047539618,28032.323232323233,34565.73863636364,465,162,303,27745.59139784946,43061.72839506173,19556.76567656766
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,2540,1533,1007,65175.27559055118,74559.3607305936,50889.47368421053,691,279,412,108801.73661360347,203376.3440860215,44757.28155339806,1517,922,595,53439.156229400134,52344.3600867679,55135.63025210084,332,332,0,28000.0,28000.0,0.0
46,Suffolk County (Northwest)--Smithtown Town PUMA,2305,1191,1114,54088.373101952275,50426.70025188917,58003.141831238776,1202,475,727,47707.98668885191,20136.842105263157,65722.14580467675,949,716,233,67701.47523709167,70521.22905027933,59036.48068669528,154,0,154,20000.0,0.0,20000.0
47,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,217,123,94,38949.30875576037,40650.40650406504,36723.40425531915,89,77,12,47033.70786516854,50000.0,28000.0,128,46,82,33328.125,25000.0,38000.0,0,0,0,#DIV/0!,0.0,0.0
48,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,6322,3191,3131,63047.09901929769,71029.11313068004,54912.12392206963,3263,1284,1979,73107.95586883236,85715.73208722741,64927.87266296109,2791,1639,1152,50450.91365102114,59408.724832214764,37706.25,268,268,0,71731.34328358209,71731.34328358209,0.0
49,Onondaga County (Central)--Syracuse City (Outer) PUMA,1114,482,632,100179.56014362657,174586.09958506224,43432.80063291139,482,482,0,174586.09958506224,174586.09958506224,0.0,632,0,632,43432.80063291139,0.0,43432.80063291139,0,0,0,#DIV/0!,0.0,0.0
50,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,537,416,121,36618.24953445065,29925.48076923077,59628.09917355372,195,159,36,31076.923076923078,20000.0,80000.0,342,257,85,39777.77777777778,36066.14785992218,51000.0,0,0,0,#DIV/0!,0.0,0.0
51,Erie County (West Central)--Buffalo City (West) PUMA,3587,1516,2071,51366.016169500974,37787.66490765171,61305.55287300821,1194,189,1005,78519.09547738693,54285.71428571428,83076.41791044777,1791,828,963,40127.86152987158,35315.942028985504,44265.21287642783,602,499,103,30945.3488372093,35640.28056112224,8200.0
52,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",459,102,357,37250.56427015251,19529.41176470588,42313.750700280114,182,0,182,12620.92857142857,0.0,12620.92857142857,247,72,175,56279.35222672065,15166.666666666666,73194.28571428571,30,30,0,30000.0,30000.0,0.0
53,Monroe County (North & West) PUMA,525,275,250,66413.33333333333,108909.09090909091,19668.0,135,135,0,170000.0,170000.0,0.0,390,140,250,30556.410256410258,50000.0,19668.0,0,0,0,#DIV/0!,0.0,0.0
54,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,2845,1182,1663,90294.0949033392,57096.023688663285,113890.07817197836,1546,424,1122,104624.83829236739,75146.22641509434,115764.70588235294,1252,711,541,73547.68370607028,45809.42334739803,110002.21811460258,47,47,0,65000.0,65000.0,0.0
55,Cattaraugus & Allegany Counties PUMA,521,213,308,34290.825335892514,31590.23474178404,36158.44155844156,151,80,71,43152.317880794704,49500.0,36000.0,365,128,237,29971.287671232876,18427.5,36205.90717299578,5,5,0,82000.0,82000.0,0.0
