,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",18735,9092,9643,65924.31064851882,72811.89397272328,59430.28310691693,11915,5711,6204,77525.71968107428,88121.57765715287,67771.86009026435,6617,3178,3439,41254.255705002266,37869.66960352423,44381.97150334399,203,203,0,189131.0344827586,189131.0344827586,0.0
52,Westchester County (Northeast) PUMA,36714,21907,14807,157398.99929182327,193039.52526589675,104668.73640845546,26090,15125,10965,191924.36680720584,243142.92694214877,121274.05015959873,10486,6708,3778,73061.54205607477,81853.20661896243,57451.56696664902,138,74,64,38527.536231884056,31200.0,47000.0
53,Chautauqua County PUMA,37297,20566,16731,47143.34423680189,50116.561801030824,43488.61992708147,10107,4102,6005,58690.797467102006,65172.057532910774,54263.46544546211,24914,14959,9955,43757.462470899896,46975.535129353564,38921.787041687596,2276,1505,771,32927.943760984184,40301.926910299,18533.852140077823
54,Erie County (West Central)--Buffalo City (East) PUMA,35887,17140,18747,41481.129656978854,45331.372228704786,37960.931349015846,9567,4013,5554,56635.141632695726,67315.17567904311,48918.365142239825,23386,11740,11646,37441.58470880014,39478.6132879046,35388.114374034005,2934,1387,1547,24265.848670756644,31265.320836337418,17990.303813833227
55,Cayuga & Onondaga (South) Counties PUMA,38916,22498,16418,66870.66322335287,75889.51329007023,54511.905225971495,13420,7086,6334,98205.52682563338,112508.40671747107,82204.54688980107,23290,13717,9573,50472.20008587377,59454.72625209594,37601.28068526063,2206,1695,511,49375.80235720761,55803.669616519175,28054.40313111546
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,44456,23775,20681,56751.427253913986,66345.76529968454,45721.719452637684,15792,7463,8329,81647.95402735562,108821.00495779177,57300.19570176492,25868,14385,11483,44622.69831451987,49107.41119221411,39004.60245580423,2796,1927,869,28346.56652360515,30528.95692786715,23507.134637514384
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,31190,17608,13582,74777.98076306509,84733.84881871876,61870.97702841997,13402,6647,6755,88381.1669900015,104770.84248533173,72253.53219837157,17384,10731,6653,64428.74597330879,72624.94828068213,51208.627686757856,404,230,174,68840.34653465346,70623.91304347826,66482.75862068965
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",56140,29154,26986,150022.3991806199,163658.85607463814,135290.41725339065,51571,25736,25835,156625.8924589401,179178.74533727075,134159.46235726727,4320,3169,1151,79492.96064814815,50006.97380877248,160675.49087749782,249,249,0,6000.0,6000.0,0.0
59,NYC-Manhattan Community District 11--East Harlem PUMA,28098,12980,15118,71100.26443163214,79456.15100154083,63926.07421616616,14000,5103,8897,94373.49928571428,113360.17636684304,83483.42250196695,11218,6166,5052,53069.54359065787,66504.7615958482,36671.76959619953,2880,1711,1169,28198.645833333332,25011.98129748685,32862.78870829769
60,Schenectady County--Schenectady City PUMA,47586,24493,23093,58586.56222418358,67523.13640632018,49108.21331139306,16858,8825,8033,80324.51061810416,95215.36543909348,63965.51724137931,27938,13952,13986,47513.113680292074,55153.904816513765,39890.89732589733,2790,1716,1074,38124.79569892473,25676.748251748253,58013.85474860335
61,"Clinton, Franklin, Essex & Hamilton Counties PUMA",53938,29238,24700,49197.04942712003,52193.1774403174,45650.45870445344,13444,5186,8258,62455.854061291284,74400.11029695334,54954.895858561395,37576,21604,15972,45564.87412177986,48556.07156082207,41518.92937640871,2918,2448,470,34882.878684030155,37246.64215686275,22571.191489361703
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,52418,27238,25180,71089.01388835895,85192.86364637638,55832.43486894361,25116,13078,12038,97960.79272177098,123082.05612478973,70669.22578501412,25667,13235,12432,47407.35808625862,51765.945598791084,42767.2434041184,1635,925,710,30064.831804281344,27777.08108108108,33045.35211267605
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",19157,10783,8374,71897.56538080075,73631.12770101085,69665.29854310963,11848,5902,5946,80657.64179608373,81894.11216536767,79430.3212243525,6753,4590,2163,56830.86332000593,61676.1220043573,46548.96902450301,556,291,265,68221.40287769784,94611.68384879726,39241.88679245283
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",44314,25479,18835,83705.51180213928,99046.53911064014,62952.97478099283,21094,9476,11618,91970.47264625011,115506.12600253272,72774.06610432088,22617,15400,7217,76546.68169960649,90326.37142857142,47142.882083968405,603,603,0,63092.2056384743,63092.2056384743,0.0
65,Onondaga County (North) PUMA,50586,27680,22906,63524.40734590598,69446.9237716763,56367.53776303152,24075,11554,12521,75050.39003115265,85485.96157175004,65420.76032265794,25310,15493,9817,52233.96009482418,56493.580972051896,45511.50860751757,1201,633,568,70412.98917568693,93729.85781990521,44427.81690140845
66,Ulster County (East) PUMA,47663,25807,21856,65145.99353796446,71057.29298252412,58166.083912884336,19260,8612,10648,87575.39460020768,104987.00534138411,73493.05127723516,26771,15904,10867,49908.18759105002,53856.52477364185,44129.74325940922,1632,1291,341,50403.98284313725,56617.58326878389,26879.76539589443
67,Oswego County PUMA,38515,21397,17118,55005.23951707127,60631.99513950554,47971.959341044516,9828,3891,5937,70919.26638176639,77397.74608069904,66673.39060131379,25465,14902,10563,50954.82701747496,59782.566098510266,38500.887058600776,3222,2604,618,38475.35071384234,40441.00230414746,30192.89644012945
68,Niagara County (North & East) PUMA,36601,19829,16772,58011.72618234475,66062.80246104191,48493.195802528026,11480,4817,6663,74776.07839721255,102968.98692132032,54394.08224523488,24536,14632,9904,50645.84325073362,54474.18671405139,44989.91417609047,585,380,205,37968.205128205125,44451.05263157895,25951.219512195123
69,Broome (Outer West) & Tioga Counties PUMA,36485,20266,16219,61247.332054268874,68072.37787427218,52719.28602256613,11169,5621,5548,74084.4892112096,88731.74702010318,59244.5043258832,23652,13456,10196,57057.138931168614,61969.794887039236,50573.74362495096,1664,1189,475,34641.706730769234,39468.544995794786,22559.36842105263
70,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",13843,8195,5648,44798.91280791736,48000.72971323978,40153.21706798867,3863,1973,1890,69388.93864871861,75528.02838317283,62980.24867724867,8301,5371,2930,38015.75713769425,41863.321541612364,30962.764505119452,1679,851,828,21758.832638475284,22915.72267920094,20569.806763285025
71,Suffolk County (Southwest)--Islip Town (South) PUMA,35229,20513,14716,81219.15609299157,93336.91805196705,64327.90500135907,19601,10597,9004,91118.11030049487,108510.52939511182,70648.6006219458,14803,9499,5304,67613.48713098696,73959.15359511528,56248.9536199095,825,417,408,90158.93333333333,149151.3669064748,29865.196078431374
72,Erie County (Central) PUMA,53793,28204,25589,52090.31769932891,58077.388313714364,45491.414279573255,16109,6688,9421,64219.619467378485,79491.39354066986,53378.13501751406,36399,20593,15806,47467.67795818566,52280.53804690915,41197.196634189546,1285,923,362,30976.342412451362,32246.045503791982,27738.950276243093
73,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",20713,9349,11364,70773.97962632163,67784.00256711947,73233.7909186906,10246,3860,6386,88834.31875853991,84244.87823834197,91608.39336047604,8295,4014,4281,58626.764315852924,62531.94070752367,54965.14832982948,2172,1475,697,31968.692449355432,38999.457627118645,17090.10043041607
74,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,30536,16921,13615,56424.60734870317,64369.35996690503,46550.70657363202,10913,5894,5019,73918.94346192614,85946.2945368171,59794.77385933453,18142,10020,8122,46489.591004299415,52311.32734530938,39307.39473036198,1481,1007,474,49216.89399054693,58060.55610724926,30428.776371308017
75,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,30517,16535,13982,103799.88629288593,116352.17478076807,88955.65155199543,18734,9076,9658,127874.18543824063,152823.6326575584,104428.21495133569,11167,7403,3764,66229.71612787677,72273.60799675807,54342.646121147714,616,56,560,52725.48701298701,32400.0,54758.03571428572
76,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",33726,16784,16942,62707.063986242065,60075.76680171592,65313.82186282611,12616,4635,7981,81597.38902980342,79201.1736785329,82989.0013782734,20058,11240,8818,52140.317080466644,53677.48487544484,50180.942390564756,1052,909,143,37638.11787072243,41671.39713971397,12000.0
77,Cattaraugus & Allegany Counties PUMA,37478,21833,15645,48871.22418485511,51072.17331562314,45799.74304889741,8703,3811,4892,73216.31621280019,78458.2288113356,69132.72485690923,26959,16396,10563,42167.307392707444,46676.247255428156,35168.48338540187,1816,1626,190,31721.200440528635,31211.9926199262,36078.94736842105
78,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",27252,14500,12752,71894.62351387054,83245.94344827587,58987.30395232121,10865,5015,5850,90568.90289921768,112943.50149551345,71387.94358974359,15712,8964,6748,60158.39803971487,68554.7880410531,49004.687314759925,675,521,154,44492.444444444445,50152.39923224568,25344.155844155845
79,Jefferson & Lewis Counties PUMA,42071,26016,16055,48512.72705664234,51962.27475399754,42922.97726564933,12453,6039,6414,62558.88540913836,74541.99701937407,51276.3766760212,27919,18752,9167,43327.83194240482,46498.40123720137,36842.12065015818,1699,1225,474,30761.271336080048,24288.48979591837,47489.45147679325
80,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",43049,22426,20623,124993.25029617413,138461.185766521,110347.85821655433,37301,18724,18577,133520.13892388943,150363.45075838495,116543.54578241913,5004,3098,1906,59422.40807354117,61612.42737249839,55862.76495278069,744,604,140,138508.06451612903,163658.940397351,30000.0
81,NYC-Queens Community District 1--Astoria & Long Island City PUMA,48913,27369,21544,64725.6085294298,72818.13767401074,54445.04641663572,33124,17361,15763,72715.02626494385,84134.90351938253,60137.44020808222,14391,8753,5638,47546.12327148912,53172.92928138924,38810.50195104647,1398,1255,143,52271.03004291846,53283.58565737052,43384.61538461538
82,Saratoga County (Outer) PUMA,44423,24840,19583,70474.1739639376,79549.51086956522,58962.58898023796,18794,10231,8563,96734.9531765457,114333.6242791516,75708.20973957726,23329,12705,10624,53027.35822367011,58475.81739472649,46511.669804216865,2300,1904,396,32853.1652173913,33260.12605042017,30896.464646464647
83,Dutchess County (Southwest) PUMA,50539,27913,22626,76220.96551178298,84007.9484827858,66614.40422522761,22422,11387,11035,103233.51886540005,114367.15289365065,91744.73855913004,26660,15166,11494,55315.41245311328,64886.29671633918,42686.90795197494,1457,1360,97,43047.71448181194,43051.117647058825,43000.0
84,Erie County (Northwest) PUMA,39457,20463,18994,58120.555794915985,65069.200508234375,50634.501421501525,18815,9199,9616,68591.58809460537,82332.40243504729,55446.647254575706,19297,10560,8737,49730.48867699642,52447.01515151515,46447.151196062725,1345,704,641,32016.951672862455,28827.840909090908,35519.5007800312
85,Genesee & Orleans Counties PUMA,34380,19251,15129,47551.627865037815,52068.565061555244,41804.02009385947,7220,2729,4491,67641.11772853186,76406.98790765848,62314.45112447116,25451,15389,10062,42755.6518800833,49331.30651764247,32698.729874776385,1709,1133,576,34102.984201287305,30624.713150926742,40944.791666666664
86,Erie County (Northeast) PUMA,42742,25000,17742,73972.81432782744,84762.3032,58769.4989290948,22023,13043,8980,89899.53094492122,99597.11109407345,75814.28173719377,20483,11827,8656,57407.970512132015,69122.28460302697,41402.28743068392,236,130,106,25428.813559322032,19255.384615384617,33000.0
87,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",38684,20830,17854,63401.61772308965,67944.01680268843,58102.067323849,15838,7596,8242,72273.31733804774,82137.54739336493,63182.23610774084,21630,12213,9417,57288.86638927415,61823.45533447965,51407.91334820006,1216,1021,195,56583.22368421053,35560.43095004897,166656.41025641025
88,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,42838,23037,19801,63963.4102899295,64486.97356426618,63354.28311701429,23788,12180,11608,81197.39238271398,81767.28325123152,80599.41936595451,17410,9710,7700,40558.87421022401,42188.24922760041,38504.168831168834,1640,1147,493,62445.73170731707,69758.50043591979,45432.04868154158
89,Nassau County (West Central)--Hempstead Town (West Central) PUMA,28627,14775,13852,79757.43598700527,80883.30287648053,78556.54923476755,14265,5681,8584,95937.67402733964,104299.45432142228,90403.74184529357,13991,9048,4943,64497.76284754485,66276.92307692308,61241.06817722031,371,46,325,33091.64420485175,62000.0,29000.0
90,Suffolk County (South Central)--Brookhaven Town (South) PUMA,36416,20903,15513,77837.97643892794,94157.89025498732,55847.6999935538,12608,6710,5898,103598.9942893401,133272.82414307006,69839.85588335029,21956,13069,8887,64818.76616870104,77110.85239880634,46742.331495442784,1852,1124,728,56809.28725701944,58861.20996441281,53641.20879120879
91,Orange County (Northeast)--Greater Newburgh City PUMA,36007,19617,16390,66705.0195795262,68153.02441759699,64971.91946308725,13714,6473,7241,79420.54688639347,86549.00818785725,73048.14942687475,19802,11059,8743,61751.48267851732,63150.47924767158,59981.89523047009,2491,2085,406,36078.44239261341,37575.539568345324,28390.147783251232
92,Sullivan & Ulster (West) Counties PUMA,27417,15617,11800,61297.65729292045,68118.9844400333,52269.80423728814,9006,3909,5097,84563.51432378414,104328.69276029675,69405.16970767119,16993,10653,6340,51602.66933443183,59061.1395850934,39070.321766561516,1418,1055,363,29714.17489421721,25417.061611374407,42203.030303030304
93,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",36569,19810,16759,70452.19612239876,80870.52953054014,58137.19016647771,14693,7036,7657,86205.08065064996,104503.97953382604,69390.263810892,20202,11597,8605,61427.70072270072,70531.16236957833,49158.92155723416,1674,1177,497,41094.802867383514,41465.84536958369,40216.09657947686
94,Wayne & Seneca Counties PUMA,38648,21815,16833,51256.276133305735,58423.28031171212,41968.08055605061,10309,5203,5106,74422.32515277913,91839.72900249856,56674.0383862123,25711,14348,11363,42278.23927501847,47639.69542793421,35508.35694798909,2628,2264,364,48218.036529680365,49967.93286219081,37334.06593406593
95,Albany County (East Central)--Albany City PUMA,29394,15187,14207,62939.85473225828,60882.63909922961,65138.97726472865,17138,8548,8590,70348.9356984479,72896.93261581656,67813.39697322468,11544,5927,5617,53278.36365211365,45914.13193858613,61049.0243902439,712,712,0,41248.03370786517,41248.03370786517,0.0
96,Nassau County (Northwest)--North Hempstead Town (North) PUMA,23230,13810,9420,160524.6388291003,204547.28602461985,95986.12951167728,16132,10056,6076,200393.78626332755,244958.49443118536,126637.58064516129,6470,3422,3048,72494.28129829984,100112.97486849796,41486.679790026246,628,332,296,43307.00636942675,56954.21686746988,28000.0
97,Rensselaer County--Troy City PUMA,53887,29067,24820,66485.45047970754,77839.25482505934,53188.873892022566,21698,12465,9233,89126.4969121578,104394.11793020458,68514.46442109824,30565,15530,15035,51189.306069033206,57303.8596265293,44873.44196873961,1624,1072,552,51867.9802955665,66559.70149253731,23336.231884057972
98,Tompkins County PUMA,23614,12401,11213,63485.37520115186,73196.07854205306,52745.837866761794,12846,6209,6637,70052.31589599875,79199.97262038976,61494.563808949824,10255,6029,4226,55633.798147245245,68324.91955548184,37528.07856128727,513,163,350,55998.05068226121,24668.71165644172,70588.57142857143
99,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,25226,13015,12211,66103.45080472529,76448.89127929312,55076.84301040046,9760,4532,5228,84478.18954918033,100014.21668137687,71010.46289211935,14533,7931,6602,53469.3538842634,61399.80960786786,43942.47652226598,933,552,381,70684.24437299036,99195.65217391304,29376.377952755905
