,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,43.42253943750714,40.503643756506705,46.315736956042926,44.09080603279426,45.49527097369817,42.69870609981516,12.4866545296986,14.001085269795125,10.985556944141916
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",49.098739122713546,40.763888888888886,57.82442748091603,45.30722784585331,51.84027777777778,38.46782988004362,5.5940330314331375,7.395833333333333,3.707742639040349
2,Ulster County (East) PUMA,45.94438006952492,44.230769230769226,46.534267912772584,42.670915411355736,46.380090497737555,41.39408099688474,11.384704519119351,9.389140271493213,12.071651090342678
3,Albany County (East Central)--Albany City PUMA,41.836898825800226,37.10196779964222,45.70426651081239,50.15280682000965,50.948121645796064,49.50321449444769,8.010294354190124,11.949910554561717,4.792518994739918
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,64.1841955656623,69.34579439252336,61.9281045751634,13.132461625923819,30.654205607476637,5.473856209150327,22.683342808413872,0.0,32.59803921568628
5,Ontario & Yates Counties PUMA,83.70524130773222,100.0,65.6078860898138,16.294758692267774,0.0,34.392113910186204,0.0,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,64.28442519400829,85.11226252158895,41.49659863945578,30.93304457679119,14.887737478411053,48.488284202569915,4.782530229200505,0.0,10.015117157974302
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,39.31631764651973,37.96786389413989,40.58525304633995,48.37098474086973,44.19659735349716,52.299208396335494,12.312697612610549,17.835538752362947,7.115538557324558
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",38.760741745816375,23.458038422649143,51.145662847790504,42.24332881049299,49.3427704752275,36.49754500818331,18.99592944369064,27.199191102123354,12.356792144026187
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,20.291298394124237,18.17256299312802,22.319688109161792,60.06473297647206,63.120386866887245,57.13937621832359,19.64396862940371,18.70705013998473,20.54093567251462
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",23.367993913264012,25.808286716601874,20.56064572425829,53.517626172964746,52.84915141746468,54.28664921465969,23.11437991377124,21.34256186593344,25.152705061082024
11,Livingston & Wyoming Counties PUMA,67.78280542986425,88.83928571428571,35.10392609699769,14.117647058823529,8.035714285714286,23.556581986143186,18.099547511312217,3.125,41.339491916859124
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,60.3917179630666,64.93617021276596,55.3482880755608,34.65025181869054,31.02127659574468,38.67768595041322,4.958030218242865,4.042553191489362,5.974025974025974
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,24.0,14.451063829787234,35.810526315789474,55.11529411764706,70.82553191489362,35.68421052631579,20.884705882352943,14.72340425531915,28.50526315789474
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,53.31720801658604,59.23401493021746,46.58293313631326,33.10297166551486,30.76923076923077,35.759142962689324,13.579820317899102,9.99675430055177,17.657923900997414
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,60.180926096289475,65.3858418367347,55.36030714707619,31.43974241030359,28.8265306122449,33.86001181334908,8.37933149340693,5.787627551020408,10.779681039574719
16,Monroe County (Central)--Rochester City (East) PUMA,46.35993011065813,71.5909090909091,32.24341507720254,30.168899242865464,28.40909090909091,31.15349682107175,23.471170646476413,0.0,36.6030881017257
17,Westchester County (Northwest) PUMA,35.40231569690752,40.40614007035497,31.16883116883117,52.33768137183057,46.46626159258075,57.3051948051948,12.260002931261909,13.127598337064278,11.525974025974026
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,33.09101923368166,31.33514986376022,35.28810092055916,54.99015598970165,57.71117166212534,51.5854074326628,11.91882477661669,10.95367847411444,13.126491646778044
19,Onondaga County (Central)--Syracuse City PUMA,61.723969366139805,56.88581314878892,66.03018170619033,30.959752321981426,36.95501730103806,25.62365260240222,7.316278311878769,6.159169550173011,8.346165691407453
20,Westchester County (Northeast) PUMA,44.1747572815534,42.9673721340388,45.38427561837456,33.49514563106796,35.736331569664905,31.25,22.330097087378643,21.296296296296298,23.36572438162544
21,Madison & Cortland Counties PUMA,57.938718662952645,100.0,47.75086505190311,11.699164345403899,0.0,14.53287197231834,30.362116991643457,0.0,37.71626297577855
22,Erie County (West Central)--Buffalo City (West) PUMA,32.55972696245733,32.64989127058093,32.449829609996215,34.14675767918089,38.148493320907114,29.269216205982584,33.29351535836177,29.201615408511962,38.280954184021205
