,puma,ENG_prof_mf_t,ENG_prof_m,ENG_prof_f,NO_ENG_prof_mf_t,NO_ENG_prof_m,NO_ENG_prof_f
0,Total Geo,62.70441456797345,65.53176750911265,60.05884293777369,37.29558543202655,34.46823249088735,39.94115706222631
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,65.18288192455609,90.61847053907229,48.80968392737054,34.81711807544391,9.381529460927705,51.19031607262946
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,76.62676386009495,86.57907866289706,69.93288590604027,23.373236139905035,13.420921337102943,30.06711409395973
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,68.33963943912752,65.4786680541103,70.4784130688448,31.66036056087247,34.5213319458897,29.52158693115519
4,Madison & Cortland Counties PUMA,77.94871794871796,100.0,71.33333333333334,22.05128205128205,0.0,28.666666666666668
5,Ontario & Yates Counties PUMA,62.05910390848427,45.370370370370374,79.76424361493125,37.94089609151573,54.629629629629626,20.23575638506876
6,Monroe County (Central)--Greece & Gates Towns PUMA,52.43407707910751,76.76348547717843,35.71021106674272,47.5659229208925,23.236514522821576,64.28978893325727
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,80.59034702832069,70.17225747960109,88.77492877492877,19.409652971679296,29.827742520398914,11.225071225071224
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",90.91603053435115,86.41552511415526,100.0,9.083969465648854,13.584474885844749,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,94.50075479836102,94.21150908164998,94.71321695760598,5.499245201638991,5.788490918350026,5.286783042394015
10,Suffolk County (Southwest)--Islip Town (South) PUMA,71.53030542807406,62.597503900156006,77.62982689747004,28.469694571925935,37.402496099843994,22.37017310252996
11,Erie County (Northwest) PUMA,95.33123028391167,100.0,91.92139737991266,4.6687697160883275,0.0,8.078602620087336
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",70.38017201893226,74.47176227908791,66.94443144047564,29.619827981067736,25.528237720912085,33.05556855952437
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,67.42303969022265,68.87680571335822,66.09642301710731,32.57696030977735,31.12319428664178,33.903576982892695
14,Rockland County (North)--New City & Congers PUMA,76.71872607563925,82.51223491027733,71.59549913444894,23.28127392436074,17.487765089722675,28.404500865551068
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",67.17241379310344,79.45619335347432,56.852791878172596,32.827586206896555,20.54380664652568,43.14720812182741
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,29.793961437516792,33.37803787694059,26.08585964764748,70.20603856248322,66.62196212305942,73.91414035235252
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,46.3388250956898,47.39055157061588,45.267489711934154,53.66117490431021,52.60944842938412,54.73251028806584
18,Tompkins County PUMA,99.47154471544715,98.52104664391354,100.0,0.5284552845528455,1.4789533560864618,0.0
19,Dutchess County (Southwest) PUMA,71.95938149088391,73.1855309218203,70.76010043369094,28.040618509116083,26.814469078179698,29.239899566309063
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,68.75644790096024,72.30648123852006,65.1482824834649,31.243552099039757,27.693518761479925,34.851717516535096
21,Westchester County (Northwest) PUMA,64.38381474410298,69.77819950183846,58.55751985652062,35.61618525589702,30.221800498161542,41.44248014347938
22,Albany County (Outside Albany City) PUMA,100.0,100.0,100.0,0.0,0.0,0.0
23,Monroe County (South) PUMA,77.75394321766561,89.52354416271942,68.0119926199262,22.246056782334385,10.476455837280579,31.988007380073803
24,Jefferson & Lewis Counties PUMA,92.65555933356,91.92795196797864,93.41192787794729,7.3444406664399855,8.072048032021348,6.588072122052704
25,"Chenango, Delaware & Broome (East) Counties PUMA",83.30206378986867,100.0,80.17817371937639,16.69793621013133,0.0,19.821826280623608
26,Erie County (Central) PUMA,68.3132530120482,92.3141891891892,46.55436447166922,31.686746987951807,7.685810810810811,53.44563552833078
27,St. Lawrence County PUMA,87.708830548926,100.0,78.36134453781513,12.291169451073985,0.0,21.638655462184875
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",62.588124136928556,65.28325706170112,60.28698464025869,37.411875863071444,34.71674293829888,39.71301535974131
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,85.32315142484634,96.04743083003953,75.7661148291652,14.67684857515366,3.9525691699604746,24.233885170834803
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,64.57960644007156,71.5,59.57921581128467,35.42039355992844,28.499999999999996,40.42078418871533
31,Cayuga & Onondaga (South) Counties PUMA,89.93536472760849,85.80729166666666,100.0,10.064635272391504,14.192708333333334,0.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,89.48908994145822,94.93464052287581,86.85872138910813,10.510910058541779,5.065359477124183,13.14127861089187
33,Fulton & Montgomery Counties PUMA,56.14754098360656,46.73913043478261,61.8421052631579,43.85245901639344,53.2608695652174,38.15789473684211
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,75.365141187926,82.1078431372549,67.77087646652863,24.634858812074,17.892156862745097,32.22912353347136
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,78.09694793536805,86.5087135304484,70.97629703298524,21.903052064631957,13.491286469551596,29.023702967014753
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,86.80142687277052,100.0,65.84615384615384,13.198573127229487,0.0,34.15384615384615
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,73.97935779816514,83.35329341317366,65.36853685368537,26.020642201834864,16.646706586826348,34.63146314631464
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",40.871942976526974,43.69292981998434,38.35966542750929,59.128057023473026,56.30707018001565,61.64033457249071
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,56.683783928858986,63.478229159069365,50.13875715741033,43.316216071141014,36.52177084093064,49.86124284258967
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",71.07068772937609,56.13472333600642,80.9435462496687,28.929312270623903,43.86527666399358,19.0564537503313
41,Suffolk County (Central)--Islip Town (East) PUMA,92.21737671922173,100.0,86.23962040332147,7.782623280778263,0.0,13.76037959667853
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",72.91345857714813,82.58600695786626,66.50883030458152,27.086541422851862,17.413993042133747,33.491169695418485
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",47.47838223908753,51.476971446000796,44.006437680805114,52.52161776091248,48.523028553999204,55.99356231919488
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,50.82983045650258,51.59163684309663,49.92597145012152,49.17016954349743,48.40836315690337,50.07402854987848
45,Saratoga County (Outer) PUMA,96.23824451410658,92.42902208201893,100.0,3.761755485893417,7.570977917981073,0.0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",71.78969930025846,72.9341641831482,70.79353849781866,28.210300699741538,27.065835816851802,29.206461502181348
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",50.746990541702495,49.66315789473684,51.87747035573123,49.253009458297505,50.33684210526316,48.12252964426877
48,Wayne & Seneca Counties PUMA,49.246231155778894,0.0,65.4424040066778,50.753768844221106,100.0,34.5575959933222
49,Schenectady County--Schenectady City PUMA,69.54880768570938,72.02680067001675,67.82911944202267,30.451192314290616,27.97319932998325,32.170880557977334
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,52.34264747389218,50.648807032231055,53.725858827550844,47.657352526107815,49.351192967768945,46.27414117244915
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,86.32120631881283,88.12190674654859,84.79079034757582,13.678793681187171,11.87809325345142,15.209209652424175
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,73.64325484671632,79.00738629000908,67.88595271210013,26.356745153283693,20.99261370999093,32.11404728789986
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",66.92633134107851,61.54907370910524,78.43137254901961,33.0736686589215,38.45092629089476,21.568627450980394
54,Columbia & Greene Counties PUMA,49.68474148802018,62.17391304347826,40.066964285714285,50.31525851197982,37.826086956521735,59.93303571428571
55,Rensselaer County--Troy City PUMA,54.01038661281016,49.681528662420384,57.59493670886076,45.98961338718984,50.318471337579616,42.405063291139236
56,Erie County (West Central)--Buffalo City (West) PUMA,65.33994334277621,70.29109589041096,60.461192350956125,34.6600566572238,29.708904109589042,39.538807649043875
57,Erie County (South) PUMA,82.78829604130809,57.6271186440678,100.0,17.21170395869191,42.3728813559322,0.0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,66.96177931332326,83.07038834951457,58.06235333556822,33.038220686676745,16.929611650485437,41.93764666443178
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",48.97402717441538,53.16309668568579,44.88292073931975,51.02597282558462,46.83690331431422,55.11707926068025
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,49.820764737121614,46.31621403603119,53.23891948596905,50.179235262878386,53.68378596396881,46.761080514030944
61,NYC-Manhattan Community District 10--Central Harlem PUMA,80.81129196337741,85.18232186573896,76.55328228944396,19.188708036622586,14.817678134261048,23.446717710556044
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,76.9880174291939,79.16260954235638,74.78337172315454,23.0119825708061,20.83739045764362,25.216628276845455
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,62.17206217206217,63.16083916083917,61.63040147103892,37.82793782793783,36.83916083916084,38.36959852896108
64,Albany County (East Central)--Albany City PUMA,72.44641537324465,65.33052039381153,77.607753124203,27.553584626755356,34.66947960618847,22.39224687579699
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,66.95710959212799,74.8051138135329,59.66082040875489,33.04289040787201,25.1948861864671,40.339179591245106
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,89.93525603296057,92.02626641651031,86.41390205371248,10.064743967039435,7.973733583489681,13.58609794628752
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",49.66531952513261,49.267192784667415,50.027119869824624,50.33468047486739,50.732807215332585,49.972880130175376
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",47.28895482388974,51.101664160920734,44.0207972270364,52.71104517611026,48.898335839079266,55.97920277296361
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",65.59014869888475,65.50561797752809,65.64976228209191,34.40985130111524,34.49438202247191,34.35023771790809
70,Erie County (Northeast) PUMA,76.49687220732797,80.50089445438283,72.5,23.50312779267203,19.499105545617173,27.500000000000004
71,NYC-Manhattan Community District 11--East Harlem PUMA,56.3007706727765,60.20028612303291,52.623769054363954,43.69922932722349,39.7997138769671,47.376230945636046
72,Orange County (Southeast) PUMA,81.58223109558274,72.61294829995343,91.93548387096774,18.41776890441727,27.387051700046577,8.064516129032258
73,Westchester County (Southeast) PUMA,72.56695361071259,80.83799495448064,62.65930889502036,27.433046389287423,19.162005045519358,37.34069110497963
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,72.32590345555262,78.71433482296322,66.43857314832414,27.674096544447373,21.285665177036783,33.561426851675854
75,Livingston & Wyoming Counties PUMA,78.67036011080333,81.9938962360122,46.0,21.329639889196674,18.006103763987795,54.0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,86.07775290046814,90.63004846526655,81.45260566270004,13.922247099531853,9.36995153473344,18.54739433729996
77,Westchester County (Southwest)--Yonkers City PUMA,78.51976617457645,80.25270287872867,76.73701842546063,21.48023382542356,19.74729712127133,23.262981574539364
78,Erie County (North Central) PUMA,84.96772850301895,79.2259083728278,91.369440774989,15.032271496981053,20.774091627172194,8.630559225011009
79,Saratoga County (South & Central) PUMA,94.67058329836341,100.0,85.4524627720504,5.3294167016365925,0.0,14.5475372279496
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,84.33044636908727,91.63773148148148,78.09335638429242,15.669553630912725,8.362268518518519,21.906643615707583
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",83.23863636363636,92.01710620099787,76.26062322946176,16.761363636363637,7.982893799002139,23.739376770538243
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,100.0,100.0,100.0,0.0,0.0,0.0
83,Niagara County (North & East) PUMA,71.34831460674157,78.88888888888889,68.796992481203,28.651685393258425,21.11111111111111,31.203007518796994
84,Monroe County (Central)--Rochester City (East) PUMA,63.79117811278615,70.70884592852958,57.49333333333333,36.20882188721385,29.291154071470416,42.50666666666667
85,Warren & Washington Counties PUMA,82.6309067688378,75.21367521367522,83.93393393393393,17.369093231162196,24.786324786324787,16.066066066066064
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,64.11733333333333,69.25157799819658,59.50597286900182,35.882666666666665,30.748422001803426,40.49402713099818
