,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
60,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,2467,1398,1069,39456.82205107418,41323.090128755364,37016.18334892423,475,182,293,56096.16842105263,62600.98901098901,52055.631399317404,1547,869,678,37080.67226890756,40169.8504027618,33121.238938053095,445,347,98,29956.1797752809,33051.00864553314,18997.95918367347
61,Erie County (North Central) PUMA,60,0,60,86050.0,0.0,86050.0,30,0,30,130000.0,0.0,130000.0,30,0,30,42100.0,0.0,42100.0,0,0,0,#DIV/0!,0.0,0.0
62,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1760,903,857,38429.318181818184,40111.40642303433,36656.94282380397,178,67,111,47484.831460674155,39189.55223880597,52491.89189189189,997,444,553,47173.420260782346,54996.62162162162,40892.22423146474,585,392,193,20771.62393162393,23409.183673469386,15414.507772020725
63,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,453,334,119,31587.417218543047,35107.18562874252,21708.40336134454,51,18,33,25135.29411764706,67000.0,2300.0,303,263,40,33799.3399339934,33953.61216730038,32785.0,99,53,46,28141.41414141414,30000.0,26000.0
64,Madison & Cortland Counties PUMA,33,0,33,40090.90909090909,0.0,40090.90909090909,7,0,7,85000.0,0.0,85000.0,26,0,26,28000.0,0.0,28000.0,0,0,0,#DIV/0!,0.0,0.0
65,Westchester County (Northwest) PUMA,4172,3073,1099,29365.215723873443,29868.369671330947,27958.30755232029,605,304,301,40769.71900826446,45307.89473684211,36186.3122923588,2670,2093,577,29063.520599250936,29725.60917343526,26661.871750433274,897,676,221,22571.23745819398,23367.159763313608,20136.65158371041
66,NYC-Brooklyn Community District 4--Bushwick PUMA,4195,2804,1391,35930.11108462455,35927.131241084164,35936.1179007908,725,372,353,56435.36551724138,42703.22580645161,70906.62889518414,2614,1775,839,32782.661055853096,36231.98647887324,25485.220500595948,856,657,199,28174.415887850468,31266.818873668188,17964.824120603014
67,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",620,407,213,57348.3870967742,52125.307125307125,67328.63849765259,224,73,151,85758.92857142857,82739.72602739726,87218.54304635762,302,240,62,45877.48344370861,52850.0,18887.09677419355,94,94,0,26500.0,26500.0,0.0
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",12333,6509,5824,34329.25216897754,37366.93654939315,30934.285199175825,2580,1075,1505,44388.13953488372,57915.90697674418,34725.44850498339,7677,4017,3660,33515.913377621466,36190.51282051282,30580.43087431694,2076,1417,659,24836.030828516377,25112.561750176428,24241.426403641883
69,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,978,549,429,38954.24335378323,35845.719489981784,42932.28438228438,316,195,121,55784.65189873418,45271.794871794875,72726.85950413223,536,288,248,33559.888059701494,31948.958333333332,35430.645161290326,126,66,60,19692.06349206349,25000.0,13853.333333333334
70,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",692,457,235,53443.78612716763,62572.210065645515,35691.914893617024,137,60,77,100635.03649635037,163400.0,51727.27272727273,251,125,126,43601.59362549801,64040.0,23325.396825396827,304,272,32,40302.96052631579,39656.25,45800.0
71,Suffolk County (Central)--Islip Town (East) PUMA,110,86,24,49541.09090909091,53223.25581395349,36346.666666666664,16,0,16,39020.0,0.0,39020.0,78,70,8,56733.333333333336,59674.28571428572,31000.0,16,16,0,25000.0,25000.0,0.0
72,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,2123,1163,960,32500.04710315591,34024.591573516765,30653.125,272,152,120,59069.48529411765,48180.92105263158,72861.66666666667,1138,569,569,29160.105448154656,34823.1985940246,23497.01230228471,713,442,271,27694.950911640954,28128.280542986424,26988.191881918818
73,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",6717,3676,3041,36656.88253684681,37439.44504896627,35710.91088457744,1337,611,726,49588.706058339565,54600.163666121116,45371.074380165286,4399,2518,1881,35526.61968629234,35319.698173153294,35803.61509835194,981,547,434,24100.489296636086,28028.702010968922,19149.493087557603
74,Erie County (West Central)--Buffalo City (East) PUMA,124,73,51,23071.774193548386,19657.534246575342,27958.823529411766,9,0,9,37100.0,0.0,37100.0,77,35,42,26116.883116883117,26257.14285714286,26000.0,38,38,0,13578.947368421053,13578.947368421053,0.0
75,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,325,199,126,54592.92307692308,62576.38190954774,41984.12698412698,89,32,57,62615.730337078654,92306.25,45947.36842105263,127,77,50,45354.330708661415,54181.818181818184,31760.0,109,90,19,58806.422018348625,59187.77777777778,57000.0
76,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,90,60,30,17577.777777777777,21816.666666666668,9100.0,30,0,30,9100.0,0.0,9100.0,60,60,0,21816.666666666668,21816.666666666668,0.0,0,0,0,#DIV/0!,0.0,0.0
77,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",275,34,241,96704.72727272728,300000.0,68024.0663900415,214,34,180,105284.11214953271,300000.0,68504.44444444444,61,0,61,66606.55737704918,0.0,66606.55737704918,0,0,0,#DIV/0!,0.0,0.0
78,Jefferson & Lewis Counties PUMA,226,138,88,19021.681415929204,14582.608695652174,25982.954545454544,35,0,35,40342.857142857145,0.0,40342.857142857145,101,48,53,10939.60396039604,4800.0,16500.0,90,90,0,19800.0,19800.0,0.0
79,Fulton & Montgomery Counties PUMA,160,138,22,22378.125,20206.521739130436,36000.0,0,0,0,#DIV/0!,0.0,0.0,106,84,22,22830.188679245282,19380.95238095238,36000.0,54,54,0,21490.74074074074,21490.74074074074,0.0
80,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",5121,2909,2212,42519.90236281976,42646.57958061189,42353.309222423144,1469,653,816,55480.91218515997,65731.08728943339,47278.259803921566,2766,1499,1267,41493.29718004338,41948.498999332885,40954.74348855564,886,757,129,24235.32731376975,24115.85204755614,24936.434108527134
81,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,968,235,733,45480.061983471074,21195.744680851065,53265.620736698496,347,18,329,76552.44956772335,50000.0,78005.16717325228,515,129,386,31573.59223300971,22914.728682170542,34467.35751295337,106,88,18,11326.415094339623,12784.09090909091,4200.0
82,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,10760,7460,3300,31416.689498141262,32214.45871313673,29613.247575757574,1074,598,476,44582.78584729981,48690.48829431438,39422.268907563026,7162,4782,2380,30627.94847807875,31455.510246758677,28965.175210084035,2524,2080,444,28052.41679873217,29222.451923076922,22571.171171171172
83,Monroe County (North & West) PUMA,86,52,34,35421.86046511628,40038.46153846154,28361.176470588234,21,21,0,77000.0,77000.0,0.0,34,0,34,28361.176470588234,0.0,28361.176470588234,31,31,0,15000.0,15000.0,0.0
84,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,3163,1756,1407,36931.35314574771,38462.1867881549,35020.803127221036,492,252,240,65876.56504065041,66775.79365079365,64932.375,1964,1072,892,34796.9450101833,36627.14552238806,32597.421524663678,707,432,275,22717.680339462517,26499.537037037036,16776.727272727272
85,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
86,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,402,196,206,43147.76119402985,45047.95918367347,41339.80582524272,64,36,28,56146.875,64816.666666666664,45000.0,210,61,149,44213.333333333336,76049.18032786885,31179.86577181208,128,99,29,34900.0,18757.575757575756,90006.89655172414
87,NYC-Manhattan Community District 8--Upper East Side PUMA,882,538,344,76925.54421768707,91874.21933085502,53546.51162790698,424,113,311,89887.57075471699,187410.0,54453.37620578778,373,340,33,68327.07774798927,70591.17647058824,45000.0,85,85,0,50000.0,50000.0,0.0
88,"Chenango, Delaware & Broome (East) Counties PUMA",82,73,9,28448.780487804877,29983.561643835616,16000.0,2,2,0,22900.0,22900.0,0.0,80,71,9,28587.5,30183.098591549297,16000.0,0,0,0,#DIV/0!,0.0,0.0
89,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",1844,1126,718,42651.200650759216,43899.644760213145,40693.33426183844,361,197,164,70641.55124653739,71888.32487309644,69143.90243902439,1171,650,521,34912.39453458582,37057.230769230766,32236.49520153551,312,279,33,39310.256410256414,40078.13620071684,32818.181818181816
90,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1418,769,649,43398.77997179126,37792.32769830949,50041.86440677966,473,149,324,54727.27272727273,53448.32214765101,55315.432098765436,743,434,309,40278.156123822344,36786.40552995392,45182.42718446602,202,186,16,28350.49504950495,27597.84946236559,37100.0
91,Monroe County (Central)--Rochester City (West) PUMA,198,54,144,28488.88888888889,35298.148148148146,25935.416666666668,0,0,0,#DIV/0!,0.0,0.0,166,54,112,30125.301204819276,35298.148148148146,27631.25,32,0,32,20000.0,0.0,20000.0
92,Erie County (Northwest) PUMA,26,26,0,37800.0,37800.0,0.0,0,0,0,#DIV/0!,0.0,0.0,26,26,0,37800.0,37800.0,0.0,0,0,0,#DIV/0!,0.0,0.0
93,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,6361,4740,1621,32039.251689985853,32978.350210970464,29293.214065391734,638,408,230,44106.11285266458,45592.401960784315,41469.565217391304,4153,3039,1114,31509.241512159886,32814.57058242843,27948.294434470376,1570,1293,277,28537.64331210191,29382.985305491107,24591.696750902527
