,puma,Percentage_mf_t,Percentage_m,Percentage_f
146,Capital Region,1.6506548823864642,1.5575177975238965,1.746622527290977
147,Central NY,1.007010631398982,0.9686838605530876,1.046502203851597
148,Finger Lakes,1.8089713482814864,1.962174740645636,1.6511119007986235
149,Long Island,14.666626545090102,14.765017020035602,14.565245852581967
150,Mid-Hudson,10.393003124570125,10.172330129395833,10.62038266594348
151,Mohawk Valley,0.5611084363393402,0.47919901159153366,0.6455071975860499
152,New York City,67.226956295321,67.11787206596489,67.33935573967743
153,North Country,0.384307386955411,0.4245025587533081,0.3428906303576661
154,Southern Tier,0.8899620728280307,0.9928858308354883,0.7839103247485988
155,Western NY,1.4113992768290526,1.5598169847007244,1.2584709571636088
