,puma,Percentage_mf_t,Percentage_m,Percentage_f
146,Capital Region,1.4926830805097429,1.5144611403268073,1.4708535568337664
147,Central NY,0.9457019989603516,0.9924805594645011,0.8988128957697504
148,Finger Lakes,1.6142904399603044,1.656316002789267,1.5721655662811427
149,Long Island,13.21727076540176,13.349083796323102,13.085146246345891
150,Mid-Hudson,10.82116472126396,10.447163783836853,11.196049462465982
151,Mohawk Valley,0.520265267866988,0.4998275588628451,0.5407512733392968
152,New York City,68.76719751744561,69.058144130582,68.47556336668765
153,North Country,0.3231731329647307,0.2745212555728696,0.37193997988899835
154,Southern Tier,0.8717294393774712,0.826081155582184,0.9174855948957925
155,Western NY,1.4265236362490745,1.381920616659576,1.4712320574917266
