,puma,ENG_prof_mf_t,ENG_prof_m,ENG_prof_f,NO_ENG_prof_mf_t,NO_ENG_prof_m,NO_ENG_prof_f
41,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,73.37946103423161,82.7927927927928,66.99266503667481,26.620538965768393,17.207207207207205,33.007334963325185
42,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,58.84578997161779,65.00524658971668,49.56521739130435,41.15421002838222,34.994753410283316,50.43478260869565
43,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",77.84269662921348,81.16279069767441,73.2620320855615,22.157303370786515,18.83720930232558,26.737967914438503
44,Erie County (South) PUMA,62.93706293706294,52.51141552511416,97.01492537313433,37.06293706293706,47.48858447488584,2.9850746268656714
45,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,56.43367752184273,59.305993690851736,54.69049138481174,43.56632247815727,40.694006309148264,45.30950861518826
46,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",49.27351787039983,50.715025906735754,47.76281494352737,50.72648212960017,49.28497409326425,52.23718505647263
47,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,58.775950390940956,66.5954415954416,54.01301518438177,41.224049609059044,33.4045584045584,45.98698481561822
48,Dutchess County (North & East) PUMA,60.651408450704224,71.267252195734,35.693215339233035,39.348591549295776,28.732747804265994,64.30678466076697
49,Oneida County (Central)--Greater Utica & Rome Cities PUMA,71.93605683836589,92.41379310344827,50.18315018315018,28.063943161634104,7.586206896551724,49.81684981684982
50,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,45.26880424300868,50.176187933796044,38.90964438909644,54.731195756991326,49.82381206620395,61.09035561090356
51,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",34.279157104110155,36.544585987261144,32.25653581865571,65.72084289588985,63.455414012738856,67.74346418134428
52,Warren & Washington Counties PUMA,11.11111111111111,3.1847133757961785,100.0,88.88888888888889,96.81528662420382,0.0
53,Oswego County PUMA,83.14606741573034,77.27272727272727,100.0,16.853932584269664,22.727272727272727,0.0
54,Erie County (Northeast) PUMA,100.0,100.0,100.0,0.0,0.0,0.0
55,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,80.0,71.42857142857143,100.0,20.0,28.57142857142857,0.0
56,Saratoga County (South & Central) PUMA,78.89908256880734,66.17647058823529,100.0,21.100917431192663,33.82352941176471,0.0
57,Columbia & Greene Counties PUMA,40.14962593516209,46.909090909090914,25.396825396825395,59.85037406483791,53.090909090909086,74.60317460317461
58,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",63.649517684887456,64.78230337078652,62.692763938315544,36.350482315112544,35.217696629213485,37.30723606168446
59,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,85.01849568434032,89.3687707641196,79.55493741307372,14.98150431565968,10.631229235880399,20.445062586926284
60,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,74.71412762818149,76.331597917501,73.33333333333333,25.28587237181852,23.668402082499,26.666666666666668
61,Erie County (North Central) PUMA,88.23529411764706,0.0,100.0,11.76470588235294,100.0,0.0
62,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,62.119424120840215,66.6077738515901,59.11776289877905,37.880575879159785,33.39222614840989,40.88223710122095
63,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,83.9677047289504,80.29978586723769,88.25,16.032295271049595,19.700214132762312,11.75
64,Madison & Cortland Counties PUMA,73.25581395348837,0.0,87.5,26.744186046511626,100.0,12.5
65,Westchester County (Northwest) PUMA,48.22638146167558,50.44725478099939,45.185810810810814,51.77361853832442,49.55274521900061,54.814189189189186
66,NYC-Brooklyn Community District 4--Bushwick PUMA,46.6652757493567,49.411927494119276,43.889821029082775,53.3347242506433,50.588072505880724,56.110178970917225
67,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",45.95695171611402,46.16216216216216,45.71788413098237,54.04304828388597,53.837837837837846,54.28211586901763
