,puma,Percentage_mf_t,Percentage_m,Percentage_f
146,Capital Region,1.844825258764425,1.7350463608266167,1.9553481652137412
147,Central NY,0.9547923864701869,0.9766680807223804,0.9327684332809434
148,Finger Lakes,1.6473847493472362,1.7264408217683778,1.5677928873356306
149,Long Island,13.851786450485422,14.003151324162172,13.699395726153636
150,Mid-Hudson,10.412965037159191,10.831707169262469,9.991384948797798
151,Mohawk Valley,0.4533774062872063,0.3735531179928489,0.5337426906293624
152,New York City,68.01871154713824,67.40015756620811,68.64145767642552
153,North Country,0.3769429374429174,0.4053087691655051,0.3483848609389186
154,Southern Tier,0.7057874939344962,0.6457790436943216,0.766202641623632
155,Western NY,1.73342673297068,1.9021877461972,1.5635219696008278
