,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,1.101776107303412,0.0,2.189353445119719,5.137323943661972,4.553820983025428,5.760687495448256,0.0,0.0,0.0
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",4.231681438022719,5.549024218198919,2.7408195848855774,1.913265306122449,2.977034306776297,0.0,0.0,0.0,0.0
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",0.8895305514157972,0.0,1.5648041946583646,5.030879502321597,4.947836759742252,5.149229255493604,0.0,0.0,#DIV/0!
65,Onondaga County (North) PUMA,2.656262315756286,4.29177545691906,1.1282207653605734,8.380985791966323,7.148520890515401,10.04954582989265,0.0,0.0,0.0
66,Ulster County (East) PUMA,1.0669402410874584,1.5542742541990473,0.7293566032821047,4.272793053545587,4.126182965299685,4.4698897370653095,34.720372836218374,34.940357852882705,34.274193548387096
67,Oswego County PUMA,3.7743228708321115,7.429385236173748,1.2138343864316594,4.358868535509064,4.454497998955977,4.243231869827465,7.492469879518072,8.419337316675719,5.398773006134969
68,Niagara County (North & East) PUMA,2.4827233171231122,3.449038248949812,1.8755209780494582,5.946713759213759,7.409259788511004,4.248257550614007,30.91286307053942,40.32983508245877,9.764309764309765
69,Broome (Outer West) & Tioga Counties PUMA,1.7977704506201915,1.1251278554381179,2.371944121071013,3.8835315748001955,3.232990875781306,4.594721960414703,6.820744081172492,10.679611650485436,0.0
70,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
71,Suffolk County (Southwest)--Islip Town (South) PUMA,5.0,5.4398285918343054,4.577182744021055,2.341623947851402,1.4100022031284423,3.599583519262234,0.0,0.0,0.0
72,Erie County (Central) PUMA,0.6449721489299325,0.0,1.0702471297917884,2.6341540821454075,2.7113473083357937,2.5444565155240437,0.0,0.0,0.0
73,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",3.6742918098850303,2.471855115026921,4.8034934497816595,17.416974169741696,20.455873758036237,12.212212212212211,42.07119741100323,100.0,0.0
