,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,4.693010179968957,4.689511700138933,4.696009841694044,16.36981157280516,13.690485127850932,19.2408248504126,41.85046580141731,38.55721393034826,46.99829210393461
1,Monroe County (Central)--Rochester City (East) PUMA,5.017157732812684,5.749880210828941,4.302080897825579,23.352801606132505,19.488550894200234,28.000000000000004,21.618357487922705,12.16931216931217,42.1455938697318
2,NYC-Brooklyn Community District 4--Bushwick PUMA,6.460361613351878,5.68685376661743,7.4648337595907925,16.51143099068586,10.405004939084623,27.504445761707174,86.41571194762683,0.0,100.0
3,NYC-Manhattan Community District 10--Central Harlem PUMA,7.129359216629445,10.91336467427804,3.165670066830813,11.024844720496894,0.0,19.523373052245645,100.0,100.0,100.0
4,Ontario & Yates Counties PUMA,2.959373512741747,1.9308746862328634,3.794590356722854,18.530230938841825,15.928342490842489,21.20498940927277,22.160591653460116,21.473158551810236,23.355025307302967
5,Albany County (Outside Albany City) PUMA,6.802107695342219,8.023914411579609,5.811520995969182,12.416943521594684,10.50429932605159,14.302075221036237,11.885546588407923,7.754442649434572,20.713463751438436
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",4.726982282892826,3.604358759430008,5.584731651082362,15.729232720355105,12.675167276858982,18.811313543126513,47.39852901116862,41.69184290030212,57.163958641063516
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,4.649401787066485,7.674418604651163,2.115224046757584,17.016728624535315,21.02605534235508,13.599586847994491,43.604183427192275,36.608557844690964,50.81699346405229
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",3.475072511355552,3.877033593915064,3.043033950266833,6.581385090427879,7.293233082706767,5.570971184631804,80.6831566548881,100.0,46.22950819672131
9,Warren & Washington Counties PUMA,7.0201367079253645,8.83614088820827,5.798743433927283,20.5456053877312,14.684075542084402,26.979577212468648,35.1392849309059,21.783339851388344,52.197802197802204
10,Erie County (North Central) PUMA,5.619548816840246,3.236850295673825,7.757838139794707,5.825559397220954,7.410881801125703,3.8376709307454786,8.550573514077165,0.8746355685131195,12.824675324675324
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",5.778509789366243,6.893617021276596,4.10823965697068,21.08206346987278,14.1280353200883,37.05069124423963,37.36089030206677,37.16632443531827,38.028169014084504
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.9898498448116768,0.6574682841003797,1.2650463850341178,6.1638516792855755,6.960081883316274,5.112612612612613,29.206625980819528,39.56043956043956,3.353658536585366
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,3.296170625302957,0.9318377911993099,4.880869766365949,12.15901302261823,10.65121412803532,13.647507491146825,6.779661016949152,0.0,54.54545454545454
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,0.0,31.569506726457398,36.81214421252372,26.87074829931973,100.0,100.0,100.0
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2.8269184795601245,3.13810110974106,2.5342147993504986,33.26424870466321,44.27061310782241,15.852842809364548,52.509652509652504,41.61676646706587,60.722347629796836
16,Onondaga County (Central)--Syracuse City PUMA,12.930387661525636,12.280113921929972,13.574510454696314,30.13003673683597,27.249287555977748,32.30061349693252,38.59527121001391,49.52038369304556,23.509933774834437
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,5.211543849817876,5.658902610598719,4.848331006472903,17.828895731449617,16.604634409893144,19.06728200145737,37.29809104258444,31.752577319587626,51.02040816326531
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1.4866261049248077,1.7000335532938151,1.261643674095036,6.593532167752257,8.816398501212255,4.200284765068818,1.9230769230769231,1.9230769230769231,#DIV/0!
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",7.640449438202247,9.943041109460129,5.160688091745566,15.313718539524993,14.628180039138943,17.117117117117118,26.272189349112423,45.77319587628866,0.0
20,Monroe County (Central)--Rochester City (West) PUMA,10.004001600640255,13.736842105263158,7.714654615881214,37.17315122652529,29.577464788732392,47.15176715176715,71.21702915316983,75.26475037821483,64.83909415971395
21,"Chenango, Delaware & Broome (East) Counties PUMA",7.746816049028057,8.63217213114754,7.218229087016363,22.0673172674766,20.749371960019243,23.567343959119114,53.63756613756614,40.50991501416431,75.29205607476635
22,Dutchess County (North & East) PUMA,4.265479128661873,4.257401517005138,4.271788990825688,13.562273613820006,7.5162513542795235,19.965576592082616,38.1342062193126,26.644462947543712,59.96835443037975
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,5.348401957961417,4.5335942596216565,5.992268041237113,15.303356081144246,12.529873677022874,18.66088034717917,35.45359749739312,42.405063291139236,28.659793814432987
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,5.919828606867001,6.245457086944367,5.588720222866565,37.10675150229763,26.031386507037695,50.43816942551119,68.80386073767666,80.68697342838627,55.3019145802651
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,8.731241473396999,10.683188211654388,7.117142065909721,8.152866242038217,7.685846283074338,8.630313439244311,5.6537102473498235,7.289293849658314,0.0
26,Westchester County (Southeast) PUMA,1.5428425705542332,1.7288284335234751,1.3681694552048131,2.8525832834629963,1.2552301255230125,5.456453305351522,60.05509641873278,39.62264150943396,68.48249027237354
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,7.740086000955566,3.7037037037037033,11.425959780621572,16.0857908847185,5.229540918163673,29.883307965499746,48.24561403508772,100.0,0.0
28,Westchester County (Northwest) PUMA,1.1155885471898197,0.15166835187057634,1.812203142126416,7.837143055652053,11.380205115531941,3.2857142857142856,16.871921182266007,8.39041095890411,38.59649122807017
29,Monroe County (South) PUMA,4.37182819655898,4.426382273762684,4.321836899283647,11.728746630216046,10.22574375840933,13.280345705687166,20.45303131245836,29.182509505703425,0.0
30,Rockland County (North)--New City & Congers PUMA,0.8811666149550109,2.3568464730290457,0.0,9.969051861577418,8.848269168553866,11.515286766346797,59.528130671506354,69.60556844547564,23.333333333333332
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",17.326732673267326,28.49462365591398,7.79816513761468,37.101185050136735,19.256756756756758,43.69538077403246,23.059360730593607,9.651474530831099,100.0
32,Orange County (Southeast) PUMA,3.291577126683788,2.642159678345778,3.836514362830153,17.805700275819795,15.49191152195444,20.41958041958042,63.00551470588235,42.915980230642504,88.35758835758836
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",0.0,0.0,0.0,37.52913752913753,12.582781456953644,51.07913669064749,100.0,100.0,100.0
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,5.194375516956162,3.4694773825208607,6.729191090269637,9.891243202700169,9.337121212121211,10.434459710360192,16.367713004484305,6.547619047619048,46.36363636363636
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",14.139725009290228,16.65424739195231,11.638250555967383,39.628578006292685,38.631203373337655,40.52439912600146,57.31635071090048,59.11602209944752,55.23627075351213
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,4.572271386430678,4.658568227385305,4.47837803156679,18.50769530488993,14.90538573508006,25.795053003533567,49.93141289437586,60.971524288107204,0.0
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,2.613327972660569,0.5570758405003909,4.789985516242499,5.858076349879628,8.533839042313618,3.352203352203352,54.30711610486891,10.44776119402985,98.49624060150376
38,Westchester County (Southwest)--Yonkers City PUMA,3.558465128338087,6.536697247706422,1.6087516087516087,7.2160112579157225,2.481795214742161,12.471131639722865,36.471518987341774,26.557583385777217,53.24813631522897
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",5.863783605339715,4.754841717167436,6.915963007639727,14.865166035212837,14.513274336283185,15.4632972322503,0.0,0.0,#DIV/0!
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,9.266558466651208,14.359144420494113,4.8204979733642155,24.42819355842539,31.844919786096256,14.104949758094529,54.874651810584965,56.292517006802726,48.46153846153846
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,5.884782159818294,3.4972677595628414,9.008579599618685,20.643977990625636,21.23456790123457,20.229007633587788,61.038961038961034,53.54330708661418,66.29834254143645
42,Erie County (West Central)--Buffalo City (West) PUMA,7.688072476099905,5.70141065830721,9.763586122198342,23.92220421393841,25.036785512167516,22.427921092564493,74.11424439624005,80.23360287511231,48.888888888888886
43,Fulton & Montgomery Counties PUMA,5.0224496188785634,0.7042253521126761,8.0878414568827,21.204295657103266,17.95875264007951,24.541679974449057,65.6232737985638,68.79549966909332,61.64383561643836
44,Westchester County (Central)--White Plains City PUMA,2.442296551513858,3.151515151515152,1.7930148347155708,6.505181670620552,11.768692116557489,0.0,55.520504731861195,35.39823008849557,78.64406779661017
45,St. Lawrence County PUMA,9.14831882573818,8.21285140562249,9.839715048975958,27.986179664363277,25.345783484096877,30.946927557097048,67.73448773448774,69.89186112692089,65.5152224824356
46,Saratoga County (South & Central) PUMA,2.8117114591260464,0.0,5.290526791770292,6.357944278690591,3.6850661918402103,9.53125,31.469440832249674,21.09181141439206,42.89617486338798
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,3.2733109994416525,3.8466918450132885,2.7023262292798442,10.328732413149297,10.719850420691804,9.878844361602983,20.41343669250646,34.34782608695652,0.0
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2.241841087193731,2.4089759102408976,2.104597597326348,3.567874203821656,2.568525972781292,4.647070999793003,14.399999999999999,15.761821366024517,0.0
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,5.900594366439831,7.517785041338204,4.588014981273409,20.24537922243467,18.90085406609729,21.672579161739588,33.0812854442344,24.981188863807375,46.75984752223634
50,Suffolk County (Central)--Islip Town (East) PUMA,4.523892167071619,2.119965082928046,6.604078989964391,8.969890599283572,9.939786938397406,7.908344317144884,26.34338138925295,0.0,35.51236749116608
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",13.604549431321084,21.661278288982842,7.280890103455007,44.749642346208866,38.99220155968806,50.0,82.72425249169434,82.72425249169434,#DIV/0!
52,Westchester County (Northeast) PUMA,2.512188127330083,1.3735744439543822,3.4633401757987263,12.705691934178581,12.059304226009807,13.589907377834557,50.58626465661642,100.0,46.46098003629764
53,Chautauqua County PUMA,11.63212231066278,5.9119984493118825,15.551128818061088,27.772185030452505,20.681562606952525,35.29381256158913,41.646663466154585,37.77495769881556,46.72586015538291
54,Erie County (West Central)--Buffalo City (East) PUMA,9.203493677486637,6.65352390340069,12.06753390534182,29.932728868090088,28.407057018665306,31.219670009705595,63.94904458598726,52.42047026279392,73.78984651711924
55,Cayuga & Onondaga (South) Counties PUMA,7.779023785634186,11.800875014780656,3.7709168041480083,14.436450839328538,10.044750846637639,18.752971944840706,16.184419713831478,11.672278338945006,22.083639031548056
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,1.082821188176763,0.4758667573079538,1.5416238437821173,26.644727895781774,22.332221189082755,30.909877745320784,47.69544181308888,40.89521871820956,54.51300356960734
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,3.805581519562024,2.3690357023690356,4.764024933214603,9.383416017009214,8.617929562433298,10.25098276383429,18.76075731497418,1.8779342723004695,39.38814531548757
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",4.363840179357835,5.138121546961326,3.566785830354241,15.807679003804912,24.196018376722815,8.89589905362776,100.0,#DIV/0!,100.0
59,NYC-Manhattan Community District 11--East Harlem PUMA,9.21831205232015,12.651370299553854,5.9378806333739345,14.098360655737704,13.120567375886525,16.876574307304786,100.0,100.0,100.0
60,Schenectady County--Schenectady City PUMA,1.6045906168641413,1.2636216090888013,1.8930848455125062,13.385370697263902,10.86024578450986,15.740099141836788,27.106816961889425,32.15586307356154,12.959183673469388
61,"Clinton, Franklin, Essex & Hamilton Counties PUMA",8.887721755368814,13.668723303274799,6.093388811835414,16.60972455459687,15.055577974247036,18.335505947531367,43.93585551922777,41.79462571976968,47.893569844789354
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,3.795202291442893,5.078205746572039,2.6465144972239356,18.125286565795506,15.43813247470101,20.795246800731263,34.743788819875775,42.93785310734463,27.150336574420344
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",3.384785005512679,0.0,6.914414414414415,14.029384995449226,16.936208445642407,10.033961099104662,56.32911392405063,38.17663817663818,70.84282460136674
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",4.51552210724365,2.1420743249975094,6.168470718845406,12.123552123552123,10.57939127246058,13.8401956787607,28.276573787409703,23.96088019559902,51.65562913907284
65,Onondaga County (North) PUMA,1.9290123456790123,2.34912002417101,1.5648530085772279,15.63337754324576,13.407700222017654,18.055391868002356,41.07235814679854,50.983248361252734,16.240875912408757
66,Ulster County (East) PUMA,2.9073342116820378,1.7208413001912046,3.6674111967721017,18.696134482464373,13.757528440776264,23.83744557329463,30.919715447154474,24.770305034913633,44.69135802469136
67,Oswego County PUMA,7.412983792401027,6.17678381256656,8.292904790782291,20.97658196312905,16.766289581583756,25.260089460722725,37.521222410865875,30.60869565217391,50.405186385737444
68,Niagara County (North & East) PUMA,3.648668530233927,7.902110965813562,0.8858148282975367,12.15771536020684,12.377570307577754,11.926162755625263,58.884120171673814,42.77929155313351,73.31163547599675
